serial_number,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
914,EOS,EOS,2020-01-01 23:59:59,2.6314,2.573,2.5799,2.5972,1430406508.8504,2459275339.81634
915,EOS,EOS,2020-01-02 23:59:59,2.6078,2.4482,2.5978,2.4624,1572601948.9794,2331925310.92228
916,EOS,EOS,2020-01-03 23:59:59,2.6588,2.4477,2.469,2.6377,2170632578.3198,2498294605.46841
917,EOS,EOS,2020-01-04 23:59:59,2.6727,2.6226,2.6372,2.6678,1568801391.228,2527254005.04991
918,EOS,EOS,2020-01-05 23:59:59,2.7828,2.666,2.6664,2.7016,1993836539.8897,2559643917.92893
919,EOS,EOS,2020-01-06 23:59:59,2.8594,2.6987,2.7033,2.8564,2350209737.3027,2706667583.1648
920,EOS,EOS,2020-01-07 23:59:59,2.8772,2.7836,2.8547,2.8534,2436150895.9826,2704276005.01748
921,EOS,EOS,2020-01-08 23:59:59,2.9345,2.7504,2.8538,2.7894,2680039141.9848,2643949106.88215
922,EOS,EOS,2020-01-09 23:59:59,2.7974,2.7135,2.7889,2.7637,1870288710.8978,2619967392.19134
923,EOS,EOS,2020-01-10 23:59:59,2.9731,2.6744,2.7648,2.968,2700372562.4082,2814060881.68888
924,EOS,EOS,2020-01-11 23:59:59,3.1076,2.9416,2.9667,2.9887,2568512720.0282,2834147693.26789
925,EOS,EOS,2020-01-12 23:59:59,3.2109,2.9539,2.993,3.1918,2568583191.1395,3027171393.4387
926,EOS,EOS,2020-01-13 23:59:59,3.2025,3.0665,3.1922,3.1103,2064806454.682,2950326756.81529
927,EOS,EOS,2020-01-14 23:59:59,3.9847,3.1086,3.1096,3.8307,5879519787.6821,3634155841.99202
928,EOS,EOS,2020-01-15 23:59:59,3.9128,3.6101,3.8178,3.7694,5464624785.953,3576523316.14109
929,EOS,EOS,2020-01-16 23:59:59,3.8838,3.5619,3.7718,3.832,4318641348.7185,3636545243.79602
930,EOS,EOS,2020-01-17 23:59:59,4.0548,3.77,3.8346,3.923,5243775636.7008,3723425925.75262
931,EOS,EOS,2020-01-18 23:59:59,3.9915,3.7516,3.9189,3.8173,4128192849.6735,3623635638.43751
932,EOS,EOS,2020-01-19 23:59:59,3.9162,3.4893,3.8183,3.6154,3788848656.9869,3432470109.49034
933,EOS,EOS,2020-01-20 23:59:59,3.6808,3.503,3.6142,3.6106,2591073496.632,3428417470.00644
934,EOS,EOS,2020-01-21 23:59:59,3.676,3.567,3.6135,3.6633,2203424938.4668,3478981375.70266
935,EOS,EOS,2020-01-22 23:59:59,3.7218,3.6076,3.663,3.6506,2301041589.1738,3467325836.61859
936,EOS,EOS,2020-01-23 23:59:59,3.6542,3.5069,3.6538,3.5745,2743868029.568,3395646927.53164
937,EOS,EOS,2020-01-24 23:59:59,3.6993,3.3819,3.5745,3.6426,3096790654.3385,3460887408.95634
938,EOS,EOS,2020-01-25 23:59:59,3.6451,3.5162,3.6437,3.5302,2049669642.7282,3354544382.72559
939,EOS,EOS,2020-01-26 23:59:59,3.6665,3.4605,3.5227,3.6503,2433244476.5492,3469183865.05751
940,EOS,EOS,2020-01-27 23:59:59,4.0415,3.6495,3.6495,3.9639,3757546389.3297,3767795939.98043
941,EOS,EOS,2020-01-28 23:59:59,4.0978,3.899,3.9629,4.0509,3925809247.8725,3851064835.17566
942,EOS,EOS,2020-01-29 23:59:59,4.1103,3.9787,4.0503,3.9787,3423336507.8918,3782949471.40275
943,EOS,EOS,2020-01-30 23:59:59,4.3909,3.9072,3.9722,4.3394,4566252853.3478,4126427253.5667
944,EOS,EOS,2020-01-31 23:59:59,4.3641,4.0386,4.3352,4.1387,3713840781.2489,3936220903.57189
945,EOS,EOS,2020-02-01 23:59:59,4.2516,4.0948,4.1455,4.1586,2870748186.0668,3955723016.34254
946,EOS,EOS,2020-02-02 23:59:59,4.3378,4.0713,4.1574,4.2227,3141767218.5782,4017311929.48347
947,EOS,EOS,2020-02-03 23:59:59,4.3497,4.1644,4.2189,4.2023,2957930221.4908,3998552516.56147
948,EOS,EOS,2020-02-04 23:59:59,4.267,4.0841,4.1981,4.2461,2817365160.0813,4040806633.58881
949,EOS,EOS,2020-02-05 23:59:59,4.5701,4.2012,4.2424,4.5158,3717109097.0491,4298039991.19283
950,EOS,EOS,2020-02-06 23:59:59,4.6445,4.4562,4.5193,4.5841,3884292053.4644,4363630187.73378
951,EOS,EOS,2020-02-07 23:59:59,4.673,4.536,4.5884,4.6016,3516464246.1105,4380585470.12998
952,EOS,EOS,2020-02-08 23:59:59,4.8155,4.4752,4.5999,4.7615,3764687323.9247,4532861110.56657
953,EOS,EOS,2020-02-09 23:59:59,5.0199,4.7552,4.7582,5.0069,4150853948.4149,4766420166.43939
954,EOS,EOS,2020-02-10 23:59:59,5.0366,4.7557,5.0115,4.9068,4404077766.1598,4673170196.19048
955,EOS,EOS,2020-02-11 23:59:59,5.2605,4.8025,4.9064,5.2458,4171252310.7522,4996095292.08269
956,EOS,EOS,2020-02-12 23:59:59,5.4502,5.2354,5.2428,5.352,4791365422.2223,5099234097.73789
957,EOS,EOS,2020-02-13 23:59:59,5.4756,5.1965,5.3502,5.3416,5319788861.5813,5090068903.15008
958,EOS,EOS,2020-02-14 23:59:59,5.4141,5.2731,5.3433,5.3619,4314508084.7612,5110236624.80511
959,EOS,EOS,2020-02-15 23:59:59,5.3802,4.5768,5.3644,4.7431,6181721911.2539,4521126061.05091
960,EOS,EOS,2020-02-16 23:59:59,4.8648,4.1269,4.7587,4.4123,6654827622.1684,4206364673.14451
961,EOS,EOS,2020-02-17 23:59:59,4.4172,4.0748,4.4143,4.3464,5966492018.721,4144154598.58716
962,EOS,EOS,2020-02-18 23:59:59,4.6197,4.2759,4.348,4.5877,4331753935.2247,4374849392.87012
963,EOS,EOS,2020-02-19 23:59:59,4.6057,3.8301,4.5894,4.0092,4545428119.8737,3823814847.71404
964,EOS,EOS,2020-02-20 23:59:59,4.0634,3.8911,4.0039,4.0082,5117887501.3067,3823429119.85054
965,EOS,EOS,2020-02-21 23:59:59,4.167,3.9699,4.0061,4.0749,3916164204.1452,3887666919.49742
966,EOS,EOS,2020-02-22 23:59:59,4.1516,4.0153,4.0782,4.1221,3072139785.9482,3933261969.75123
967,EOS,EOS,2020-02-23 23:59:59,4.382,4.1014,4.1202,4.382,3836639709.2895,4181807799.4959
968,EOS,EOS,2020-02-24 23:59:59,4.3822,3.9598,4.3806,4.1352,4617269623.9981,3946894988.92055
969,EOS,EOS,2020-02-25 23:59:59,4.2131,4.0137,4.1294,4.0891,5062981932.2454,3763730479.41125
970,EOS,EOS,2020-02-26 23:59:59,4.1034,3.4401,4.0826,3.5451,6188176977.8905,3263161979.36356
971,EOS,EOS,2020-02-27 23:59:59,3.7113,3.4256,3.5555,3.6021,4632917656.757,3315685386.28145
972,EOS,EOS,2020-02-28 23:59:59,3.6763,3.4078,3.6013,3.5086,4294743274.0404,3229727115.84214
973,EOS,EOS,2020-02-29 23:59:59,3.6507,3.5097,3.5133,3.5426,3457926541.493,3261098547.94502
974,EOS,EOS,2020-03-01 23:59:59,3.6483,3.4592,3.5396,3.5346,3451754058.088,3253825123.55314
975,EOS,EOS,2020-03-02 23:59:59,3.7343,3.5128,3.5349,3.6859,4439430376.4023,3393218764.44169
976,EOS,EOS,2020-03-03 23:59:59,3.7117,3.5849,3.6876,3.6409,4503735895.9191,3351907473.58168
977,EOS,EOS,2020-03-04 23:59:59,3.6745,3.5561,3.6408,3.596,3099848431.5438,3310676569.95592
978,EOS,EOS,2020-03-05 23:59:59,3.8325,3.5949,3.5949,3.7776,3224319040.8768,3477934568.51885
979,EOS,EOS,2020-03-06 23:59:59,3.8499,3.7405,3.7777,3.8303,2972293738.8599,3526549521.79772
980,EOS,EOS,2020-03-07 23:59:59,3.8457,3.6544,3.8336,3.656,2687010880.9187,3366250140.18947
981,EOS,EOS,2020-03-08 23:59:59,3.6567,3.0596,3.6567,3.0765,3962760335.471,2832740555.24926
982,EOS,EOS,2020-03-09 23:59:59,3.1606,2.8806,3.0727,3.0595,4465844476.1674,2817188180.8202
983,EOS,EOS,2020-03-10 23:59:59,3.1459,3.0252,3.0667,3.0796,2897674436.8748,2835752371.01979
984,EOS,EOS,2020-03-11 23:59:59,3.1179,2.8893,3.0808,3.0599,2845535423.1915,2817698134.13762
985,EOS,EOS,2020-03-12 23:59:59,3.0667,1.8481,3.0584,1.8481,6776214412.8553,1701862021.04017
986,EOS,EOS,2020-03-13 23:59:59,2.1858,1.4632,1.8237,2.1018,10014703437.584,1935532291.19802
987,EOS,EOS,2020-03-14 23:59:59,2.1311,1.944,2.1034,1.9611,3877791452.7882,1806048117.77675
988,EOS,EOS,2020-03-15 23:59:59,2.137,1.9501,1.9614,2.0508,3148974712.1128,1888733327.30402
989,EOS,EOS,2020-03-16 23:59:59,2.0513,1.7705,2.0513,1.8843,3978071978.4356,1735428460.38938
990,EOS,EOS,2020-03-17 23:59:59,2.0119,1.8827,1.8827,1.9305,2621724567.4447,1778036330.43668
