serial_number,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1736,NEM,XEM,2020-01-01 23:59:59,0.033,0.0319,0.0321,0.0326,5041452.9115,293831443.280452
1737,NEM,XEM,2020-01-02 23:59:59,0.0332,0.0314,0.0327,0.0319,5253256.1337,287209411.787288
1738,NEM,XEM,2020-01-03 23:59:59,0.0326,0.0313,0.032,0.0321,5138719.183,289104002.375677
1739,NEM,XEM,2020-01-04 23:59:59,0.0329,0.0317,0.0321,0.0321,8757789.1834,288809225.66461
1740,NEM,XEM,2020-01-05 23:59:59,0.0333,0.0319,0.0321,0.0324,4489886.4585,291262976.526637
1741,NEM,XEM,2020-01-06 23:59:59,0.0349,0.032,0.0324,0.0333,7007130.328,299821804.295386
1742,NEM,XEM,2020-01-07 23:59:59,0.0347,0.0332,0.0333,0.0338,6022338.7985,304039991.230618
1743,NEM,XEM,2020-01-08 23:59:59,0.0349,0.033,0.0338,0.0333,5280185.8783,300103078.682655
1744,NEM,XEM,2020-01-09 23:59:59,0.0341,0.0326,0.0333,0.0331,5280554.5033,297586554.867235
1745,NEM,XEM,2020-01-10 23:59:59,0.0333,0.0317,0.033,0.0325,6260413.4096,292146931.186139
1746,NEM,XEM,2020-01-11 23:59:59,0.0335,0.0323,0.0323,0.0332,4282803.1852,298495037.294234
1747,NEM,XEM,2020-01-12 23:59:59,0.0337,0.0328,0.033,0.0334,3587554.3503,300930243.069463
1748,NEM,XEM,2020-01-13 23:59:59,0.0336,0.0326,0.0335,0.0331,8788517.0406,297464002.059848
1749,NEM,XEM,2020-01-14 23:59:59,0.0364,0.032,0.033,0.0361,28580821.6831,324599984.212433
1750,NEM,XEM,2020-01-15 23:59:59,0.0379,0.0338,0.0361,0.0372,30115104.7434,334695698.444412
1751,NEM,XEM,2020-01-16 23:59:59,0.0377,0.0338,0.0372,0.0366,26614814.7903,329475463.859092
1752,NEM,XEM,2020-01-17 23:59:59,0.0448,0.0348,0.0367,0.04,25359519.5812,360125741.011086
1753,NEM,XEM,2020-01-18 23:59:59,0.041,0.0362,0.0399,0.0391,11819837.4788,351670318.125826
1754,NEM,XEM,2020-01-19 23:59:59,0.0401,0.0362,0.0391,0.0373,8808545.1295,335815876.259587
1755,NEM,XEM,2020-01-20 23:59:59,0.0379,0.0359,0.0373,0.0375,7296349.3742,337294224.915623
1756,NEM,XEM,2020-01-21 23:59:59,0.0383,0.037,0.0375,0.0382,12403297.7432,344062165.527471
1757,NEM,XEM,2020-01-22 23:59:59,0.0432,0.035,0.0382,0.0432,12816969.55,388614934.662321
1758,NEM,XEM,2020-01-23 23:59:59,0.0439,0.0378,0.0433,0.0395,39933615.7532,355248003.106928
1759,NEM,XEM,2020-01-24 23:59:59,0.0422,0.037,0.0395,0.0395,9063070.4188,355474755.317803
1760,NEM,XEM,2020-01-25 23:59:59,0.0396,0.038,0.0395,0.0386,8014898.7811,347067672.726737
1761,NEM,XEM,2020-01-26 23:59:59,0.0407,0.0383,0.0386,0.0399,17525508.9048,359341230.392673
1762,NEM,XEM,2020-01-27 23:59:59,0.0425,0.0375,0.0399,0.0406,31891184.3655,365481137.933891
1763,NEM,XEM,2020-01-28 23:59:59,0.0432,0.0388,0.0402,0.0412,11852753.4222,371099962.225967
1764,NEM,XEM,2020-01-29 23:59:59,0.0423,0.0395,0.0413,0.0412,28332246.8397,370798976.9144
1765,NEM,XEM,2020-01-30 23:59:59,0.0432,0.0395,0.0411,0.0418,25269564.0558,375885799.497535
1766,NEM,XEM,2020-01-31 23:59:59,0.0467,0.0402,0.0417,0.045,29446902.6647,405175325.50708
1767,NEM,XEM,2020-02-01 23:59:59,0.0512,0.0436,0.045,0.0494,45484237.8953,444856329.411372
1768,NEM,XEM,2020-02-02 23:59:59,0.0498,0.0463,0.0494,0.0477,36653976.4354,429069572.376326
