serial_number,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1766,Tether,USDT,2020-01-01 23:59:59,1.0069,0.9949,0.9996,0.9998,21503143453.9817,4107371140.38759
1767,Tether,USDT,2020-01-02 23:59:59,1.0085,0.9865,0.9998,1.0016,24212314977.0413,4114474717.247
1768,Tether,USDT,2020-01-03 23:59:59,1.0223,0.988,1.0012,1.0042,32420287855.7851,4125267217.83688
1769,Tether,USDT,2020-01-04 23:59:59,1.0136,0.9992,1.0035,1.0075,21585629319.6533,4138741036.90707
1770,Tether,USDT,2020-01-05 23:59:59,1.0162,1.0018,1.0099,1.0062,24090142145.914,4133500727.77428
1771,Tether,USDT,2020-01-06 23:59:59,1.0136,0.9991,1.0064,1.0029,29460474864.0067,4639019503.34947
1772,Tether,USDT,2020-01-07 23:59:59,1.0112,0.9982,1.003,1.0017,32765511975.5798,4633564969.30161
1773,Tether,USDT,2020-01-08 23:59:59,1.016,0.9901,1.002,1.0043,35175740303.5275,4630671669.59305
1774,Tether,USDT,2020-01-09 23:59:59,1.0101,0.994,1.003,1.0066,28026673217.2944,4641371711.31941
1775,Tether,USDT,2020-01-10 23:59:59,1.0117,0.9948,1.0044,1.0015,34207037021.5864,4632826679.17966
1776,Tether,USDT,2020-01-11 23:59:59,1.0081,0.9934,1.0018,1.0001,31049760361.2848,4626484304.57805
1777,Tether,USDT,2020-01-12 23:59:59,1.0094,0.9944,0.9994,1.0025,27250055613.2913,4637604060.08663
1778,Tether,USDT,2020-01-13 23:59:59,1.0101,0.9984,1.002,1.0033,26468467999.5922,4642166645.08576
1779,Tether,USDT,2020-01-14 23:59:59,1.019,0.992,1.0047,1.0018,57687160760.5743,4635105702.54178
1780,Tether,USDT,2020-01-15 23:59:59,1.0225,0.9911,1.0025,0.9997,49045902728.2296,4631431379.63531
1781,Tether,USDT,2020-01-16 23:59:59,1.0112,0.9934,1.001,0.9992,40752742738.5482,4633460370.17039
1782,Tether,USDT,2020-01-17 23:59:59,1.0141,0.9893,0.9993,1.0029,47263851458.0643,4650379638.00874
1783,Tether,USDT,2020-01-18 23:59:59,1.007,0.994,1.0013,1.0027,43805026249.886,4649919501.75989
1784,Tether,USDT,2020-01-19 23:59:59,1.0259,0.9931,1.0009,0.9985,42680566067.2129,4630413450.60838
1785,Tether,USDT,2020-01-20 23:59:59,1.0066,0.9954,0.9986,1.0007,33079894465.7992,4640395834.41417
