serial_number,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
2341,XRP,XRP,2020-01-01 23:59:59,0.1944,0.1921,0.1929,0.1927,1041134003.1294,8349802256.48761
2342,XRP,XRP,2020-01-02 23:59:59,0.1929,0.1869,0.1927,0.188,1085351425.9843,8149376227.91265
2343,XRP,XRP,2020-01-03 23:59:59,0.1941,0.1858,0.1879,0.1935,1270017042.6181,8386800449.04038
2344,XRP,XRP,2020-01-04 23:59:59,0.1947,0.1918,0.1935,0.1944,999331593.6091,8422952088.91235
2345,XRP,XRP,2020-01-05 23:59:59,0.1992,0.1939,0.1944,0.1955,1168067556.9748,8474172239.53137
2346,XRP,XRP,2020-01-06 23:59:59,0.2238,0.1951,0.1955,0.2215,2301679290.0485,9606054234.72471
2347,XRP,XRP,2020-01-07 23:59:59,0.2234,0.209,0.2216,0.2139,2237698314.0099,9276786516.70001
2348,XRP,XRP,2020-01-08 23:59:59,0.2167,0.2052,0.2138,0.209,1782128651.9862,9064684942.5081
2349,XRP,XRP,2020-01-09 23:59:59,0.2091,0.2026,0.2091,0.2049,1341130889.2472,8885696511.17362
2350,XRP,XRP,2020-01-10 23:59:59,0.2124,0.2018,0.2049,0.2123,1693646276.1124,9206907568.85806
2351,XRP,XRP,2020-01-11 23:59:59,0.219,0.2101,0.2121,0.2119,1655817070.2329,9187177374.94957
2352,XRP,XRP,2020-01-12 23:59:59,0.2164,0.2115,0.2122,0.2156,1496128429.533,9351208273.31462
2353,XRP,XRP,2020-01-13 23:59:59,0.2157,0.2106,0.2156,0.2126,1321442558.948,9220403705.85808
2354,XRP,XRP,2020-01-14 23:59:59,0.2418,0.2124,0.2125,0.2347,2639844915.8038,10244977874.5566
2355,XRP,XRP,2020-01-15 23:59:59,0.241,0.2279,0.2345,0.2329,2590278224.0718,10166738989.309
2356,XRP,XRP,2020-01-16 23:59:59,0.2336,0.2241,0.2329,0.2286,2066952513.1288,9978103123.34781
2357,XRP,XRP,2020-01-17 23:59:59,0.2432,0.2266,0.2287,0.2388,2418043081.014,10423473279.5092
2358,XRP,XRP,2020-01-18 23:59:59,0.2512,0.2331,0.2389,0.2433,2391157803.7098,10620350242.0774
2359,XRP,XRP,2020-01-19 23:59:59,0.2496,0.2293,0.2434,0.2356,2211717302.2007,10284187005.3694
2360,XRP,XRP,2020-01-20 23:59:59,0.2357,0.226,0.2354,0.2333,1723535818.2743,10184268785.7529
2361,XRP,XRP,2020-01-21 23:59:59,0.2403,0.2315,0.2333,0.2372,1701652844.5304,10358425747.4093
2362,XRP,XRP,2020-01-22 23:59:59,0.2387,0.2342,0.2373,0.2361,1517150861.3322,10309942099.8936
2363,XRP,XRP,2020-01-23 23:59:59,0.2363,0.2231,0.2362,0.2261,1600294983.4164,9875297162.34153
