serial_number,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Aave,AAVE,2020-10-05 23:59:59,55.1124,49.7879,52.675,53.2192,0.0,89128128.86084658
2,Aave,AAVE,2020-10-06 23:59:59,53.4023,40.7346,53.292,42.4016,583091.4598,71011441.25451232
3,Aave,AAVE,2020-10-07 23:59:59,42.4083,35.9707,42.3999,40.084,682834.1863,67130036.89981823
4,Aave,AAVE,2020-10-08 23:59:59,44.9025,36.6961,39.8853,43.7645,1658816.9226,220265142.10956785
5,Aave,AAVE,2020-10-09 23:59:59,47.5695,43.2918,43.7645,46.8177,815537.6608,235632208.16269895
6,Aave,AAVE,2020-10-10 23:59:59,51.4057,46.7033,46.8181,49.1337,1074627.0277,247288428.7561697
7,Aave,AAVE,2020-10-11 23:59:59,51.4534,48.716,49.1331,49.6607,692150.6009,249940843.43242228
8,Aave,AAVE,2020-10-12 23:59:59,54.4214,48.7541,49.6616,52.2387,1354836.0648,262915666.29307267
9,Aave,AAVE,2020-10-13 23:59:59,57.4819,49.5987,52.2384,51.1243,1386221.2067,257307050.4308017
10,Aave,AAVE,2020-10-14 23:59:59,57.8539,49.6295,51.3729,51.3165,3132405.4222,258274392.50811112
11,Aave,AAVE,2020-10-15 23:59:59,52.0807,44.0183,51.3876,44.0192,5883146.0628,221547139.10727772
12,Aave,AAVE,2020-10-16 23:59:59,43.9067,39.143,42.8906,39.4958,52855204.9363,365071463.27992666
13,Aave,AAVE,2020-10-17 23:59:59,43.0774,38.6336,39.4862,41.367,43339687.2478,382367032.26402897
14,Aave,AAVE,2020-10-18 23:59:59,41.7495,39.5316,41.3896,40.747,40441163.4566,376635994.1363743
15,Aave,AAVE,2020-10-19 23:59:59,40.9952,35.9514,40.8368,36.0123,49289896.5112,332872221.1838187
16,Aave,AAVE,2020-10-20 23:59:59,36.3191,32.1011,36.0438,32.18,60632325.5938,297449169.45201
17,Aave,AAVE,2020-10-21 23:59:59,37.0782,32.0481,32.2535,35.1604,43831234.9627,324997301.45456576
18,Aave,AAVE,2020-10-22 23:59:59,39.8569,33.5895,35.0975,38.0317,54717366.3773,402396251.49084926
19,Aave,AAVE,2020-10-23 23:59:59,42.5467,36.9247,37.7306,41.6866,76081859.9115,445257057.9715303
20,Aave,AAVE,2020-10-24 23:59:59,42.4397,38.7288,41.6866,39.455,57658170.2947,421421064.2790179
21,Aave,AAVE,2020-10-25 23:59:59,40.9285,37.6012,39.455,37.9048,43970451.9598,404862645.1741443
22,Aave,AAVE,2020-10-26 23:59:59,39.1639,35.072,37.9048,36.0339,50307222.8547,384880121.63162833
23,Aave,AAVE,2020-10-27 23:59:59,38.8692,34.4696,36.0339,34.8715,58581307.8537,372464564.3579749
24,Aave,AAVE,2020-10-28 23:59:59,35.564,32.0001,34.8715,32.3941,60533866.8261,346002819.346564
25,Aave,AAVE,2020-10-29 23:59:59,33.1555,28.2408,32.3941,29.0983,66304785.645,310800760.62242234
26,Aave,AAVE,2020-10-30 23:59:59,31.9808,27.7925,29.0983,31.2178,77280723.589,350090548.37008536
27,Aave,AAVE,2020-10-31 23:59:59,32.9002,29.6103,31.2178,29.7075,58631071.607,333516029.29639417
28,Aave,AAVE,2020-11-01 23:59:59,31.0671,28.4945,29.7075,30.6573,49568339.1587,345465544.0019291
29,Aave,AAVE,2020-11-02 23:59:59,33.9236,29.3446,30.6573,29.7315,87180146.4724,335349717.5105502
30,Aave,AAVE,2020-11-03 23:59:59,30.0629,27.5371,29.7315,28.0428,56775011.5956,316455541.5979732
31,Aave,AAVE,2020-11-04 23:59:59,28.4331,26.0895,28.043,27.7151,50464690.5102,313021334.56848735
32,Aave,AAVE,2020-11-05 23:59:59,32.303,25.9662,27.7151,30.9556,85212411.6425,350205472.9254519
33,Aave,AAVE,2020-11-06 23:59:59,40.7691,30.8551,30.9551,38.4574,147304661.0004,435876358.2493624
34,Aave,AAVE,2020-11-07 23:59:59,51.428,38.4574,38.4574,44.6049,200580053.6053,507707213.1975601
35,Aave,AAVE,2020-11-08 23:59:59,54.7864,42.8643,44.6049,53.7494,174706008.6469,613014913.9174644
36,Aave,AAVE,2020-11-09 23:59:59,58.3641,49.8601,53.7494,54.8865,386011347.7492,626843328.1215719
37,Aave,AAVE,2020-11-10 23:59:59,70.3098,53.179,54.8865,67.0011,433793206.4968,780700254.0603075
38,Aave,AAVE,2020-11-11 23:59:59,68.7786,53.7168,67.0011,54.6996,354136841.3456,638025534.6074319
39,Aave,AAVE,2020-11-12 23:59:59,59.6183,50.5231,54.6996,51.6324,244505561.5471,603421827.5595561
40,Aave,AAVE,2020-11-13 23:59:59,66.1237,51.1792,51.6324,63.3991,318852071.2421,743396746.1819518
41,Aave,AAVE,2020-11-14 23:59:59,68.377,57.8973,63.3991,67.0161,243698854.7457,786814070.8942633
42,Aave,AAVE,2020-11-15 23:59:59,71.1746,60.0889,67.0161,64.2373,258275517.0998,754769242.984942
43,Aave,AAVE,2020-11-16 23:59:59,74.0423,61.2092,64.2373,71.7664,252527244.6747,843863117.2246927
44,Aave,AAVE,2020-11-17 23:59:59,79.5621,68.9563,73.2531,78.4433,310951195.4894,923384720.0462722
45,Aave,AAVE,2020-11-18 23:59:59,79.2105,67.6486,78.4428,75.2323,291394550.7946,887327038.570436
46,Aave,AAVE,2020-11-19 23:59:59,80.7312,70.5035,75.2328,75.8572,275294182.2809,895838057.7896098
47,Aave,AAVE,2020-11-20 23:59:59,82.1732,74.6895,75.8572,75.0654,260578165.4953,888309702.5449907
48,Aave,AAVE,2020-11-21 23:59:59,76.8917,67.7961,75.0654,70.4242,237984829.2001,833647262.7056857
49,Aave,AAVE,2020-11-22 23:59:59,74.6598,63.2991,70.4242,68.4248,209068686.3781,811198457.4282078
50,Aave,AAVE,2020-11-23 23:59:59,73.7706,65.7376,68.4248,71.8386,220212896.12,852034424.5073861
51,Aave,AAVE,2020-11-24 23:59:59,74.3801,66.2787,71.8557,66.7387,193004081.1787,792032288.2378324
52,Aave,AAVE,2020-11-25 23:59:59,67.4526,59.5579,66.7156,61.8053,154888752.2167,733874939.2967753
53,Aave,AAVE,2020-11-26 23:59:59,65.0977,50.3842,61.8167,63.9935,282502058.4653,760506808.6507189
54,Aave,AAVE,2020-11-27 23:59:59,68.6654,56.6503,64.0058,60.7387,201844805.7561,722139363.7789521
55,Aave,AAVE,2020-11-28 23:59:59,66.201,58.9792,60.7492,63.9473,150605043.4452,760508853.1865296
56,Aave,AAVE,2020-11-29 23:59:59,69.5614,62.0413,63.9488,68.8531,161791286.3075,819035970.4519866
57,Aave,AAVE,2020-11-30 23:59:59,79.4651,68.8564,68.8564,76.4195,288079549.8671,909941093.0031154
58,Aave,AAVE,2020-12-01 23:59:59,78.8619,70.944,76.4247,74.8684,268968536.9296,891921515.9888393
59,Aave,AAVE,2020-12-02 23:59:59,89.938,72.4544,74.8612,86.3232,410949897.5495,1029525776.0385628
60,Aave,AAVE,2020-12-03 23:59:59,94.0698,83.214,86.3808,91.6756,390370348.3556,1093762156.9254584
61,Aave,AAVE,2020-12-04 23:59:59,92.7358,80.1839,91.6845,81.6418,344330864.1264,974344644.041474
62,Aave,AAVE,2020-12-05 23:59:59,91.9206,79.9465,81.5899,91.9206,321071928.2328,1097810892.1516194
63,Aave,AAVE,2020-12-06 23:59:59,92.7335,84.9507,91.9467,87.9564,261643152.784,1051203168.980594
64,Aave,AAVE,2020-12-07 23:59:59,94.7002,86.9096,87.9565,90.9603,299145687.7402,1087477655.8333125
65,Aave,AAVE,2020-12-08 23:59:59,91.0988,78.2099,90.9503,79.9462,376267574.7847,956117556.491354
66,Aave,AAVE,2020-12-09 23:59:59,86.1254,75.0971,79.9228,82.1137,357447823.9546,982942929.9949716
67,Aave,AAVE,2020-12-10 23:59:59,83.0512,75.859,82.1828,76.6458,299977126.9967,917596922.5460534
68,Aave,AAVE,2020-12-11 23:59:59,78.349,70.7072,76.6252,74.7298,314260628.5667,894777251.8971121
69,Aave,AAVE,2020-12-12 23:59:59,79.9983,74.6488,74.6816,77.5549,228308571.7737,928807400.9458116
70,Aave,AAVE,2020-12-13 23:59:59,84.6491,76.9284,77.5885,83.4275,269018776.9247,999380433.358915
71,Aave,AAVE,2020-12-14 23:59:59,90.8568,79.7881,83.4549,86.1401,309773536.51,1032112150.701743
72,Aave,AAVE,2020-12-15 23:59:59,88.7453,84.6261,86.1546,87.2581,288078630.1211,1045770157.8973216
73,Aave,AAVE,2020-12-16 23:59:59,89.4808,80.9654,87.225,87.2301,368950333.1916,1045506379.575309
74,Aave,AAVE,2020-12-17 23:59:59,89.4745,83.3401,87.233,85.0838,361404899.2843,1019961551.3521832
75,Aave,AAVE,2020-12-18 23:59:59,89.773,82.8406,85.0934,89.7701,254960310.8345,1076525471.5506575
76,Aave,AAVE,2020-12-19 23:59:59,96.0686,88.964,89.8313,89.013,357204770.5456,1067684335.4318194
77,Aave,AAVE,2020-12-20 23:59:59,89.8442,84.4346,88.9754,85.9695,280308987.2709,1031344697.275862
78,Aave,AAVE,2020-12-21 23:59:59,87.6334,77.8999,85.9691,81.3119,215489072.0671,975723269.0679436
79,Aave,AAVE,2020-12-22 23:59:59,85.6103,76.1555,81.2259,84.1096,244392689.8707,1009442760.1055428
80,Aave,AAVE,2020-12-23 23:59:59,84.2682,63.6771,84.1029,75.2156,278229984.1943,902812157.557945
81,Aave,AAVE,2020-12-24 23:59:59,80.444,71.2872,75.3168,80.2566,289878177.1661,963409600.2909256
82,Aave,AAVE,2020-12-25 23:59:59,81.5042,75.9207,80.2596,79.7952,172743359.1512,958013751.496413
83,Aave,AAVE,2020-12-26 23:59:59,79.9801,73.8089,79.8221,74.8683,181386506.7095,898979377.0145285
84,Aave,AAVE,2020-12-27 23:59:59,81.5269,72.6073,74.8759,76.968,213855387.9635,924546580.8374872
85,Aave,AAVE,2020-12-28 23:59:59,85.2196,76.1617,76.9117,81.8836,226663289.8152,984160252.9022946
86,Aave,AAVE,2020-12-29 23:59:59,82.7033,75.1917,81.8666,77.902,163464865.4658,936493441.5518984
87,Aave,AAVE,2020-12-30 23:59:59,84.9368,77.1019,77.9062,80.8883,205643884.0541,973018228.8535388
88,Aave,AAVE,2020-12-31 23:59:59,87.6999,78.426,80.8552,87.5275,204471306.2562,1053210331.410881
89,Aave,AAVE,2021-01-01 23:59:59,90.3497,85.1256,87.5433,90.3497,202515778.5272,1087592822.2173798
90,Aave,AAVE,2021-01-02 23:59:59,91.7716,82.7858,90.3848,85.7128,221843920.0914,1032020483.2481196
91,Aave,AAVE,2021-01-03 23:59:59,92.4291,81.8534,85.713,91.0966,298884107.1168,1097389994.1441915
92,Aave,AAVE,2021-01-04 23:59:59,111.8999,88.2016,91.2305,111.132,619262373.1315,1339476346.339024
93,Aave,AAVE,2021-01-05 23:59:59,119.9577,99.5323,111.1511,116.4538,573305329.4852,1404342547.249715
94,Aave,AAVE,2021-01-06 23:59:59,119.8852,109.857,116.5015,115.0008,392901334.34,1389419870.2162387
95,Aave,AAVE,2021-01-07 23:59:59,125.1174,110.9521,114.9845,114.9404,467716121.2304,1391148360.454535
