serial_number,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
890,Binance Coin,BNB,2020-01-01 23:59:59,13.8739,13.6549,13.731,13.6891,172980717.8154,2129155037.07651
891,Binance Coin,BNB,2020-01-02 23:59:59,13.7155,12.99,13.6981,13.027,156376427.4645,2026178425.73812
892,Binance Coin,BNB,2020-01-03 23:59:59,13.7637,13.0126,13.0353,13.6605,173683856.863,2124701779.87031
893,Binance Coin,BNB,2020-01-04 23:59:59,13.9219,13.56,13.6674,13.8915,182230373.6529,2160640037.34281
894,Binance Coin,BNB,2020-01-05 23:59:59,14.4108,13.8865,13.8883,14.111,202552703.0612,2194781442.97117
895,Binance Coin,BNB,2020-01-06 23:59:59,15.0036,14.1112,14.1112,14.9578,224800409.0357,2326488218.5982
896,Binance Coin,BNB,2020-01-07 23:59:59,15.1353,14.5684,14.9662,15.0092,191948559.8002,2334489401.61622
897,Binance Coin,BNB,2020-01-08 23:59:59,15.2422,14.338,15.0223,14.6029,183632221.9055,2271292397.10189
898,Binance Coin,BNB,2020-01-09 23:59:59,14.6111,14.3054,14.5892,14.4983,169699829.3211,2255020117.98903
899,Binance Coin,BNB,2020-01-10 23:59:59,15.0277,14.1821,14.4784,15.0258,200173072.3248,2337067556.5513
900,Binance Coin,BNB,2020-01-11 23:59:59,15.2502,14.7795,15.021,14.9463,201663502.5613,2324702655.51538
901,Binance Coin,BNB,2020-01-12 23:59:59,15.4721,14.8699,14.9462,15.3221,231150157.9024,2383146448.91931
902,Binance Coin,BNB,2020-01-13 23:59:59,15.3554,14.9912,15.3223,15.2273,211785744.1302,2368399884.48425
903,Binance Coin,BNB,2020-01-14 23:59:59,16.7907,15.1944,15.2153,16.6261,299316969.4104,2585972298.76511
904,Binance Coin,BNB,2020-01-15 23:59:59,18.0963,16.3944,16.6039,17.6548,380806616.2772,2745971387.83994
905,Binance Coin,BNB,2020-01-16 23:59:59,17.6608,16.4398,17.6464,17.0769,260423403.8597,2656091975.11633
906,Binance Coin,BNB,2020-01-17 23:59:59,18.3618,17.0889,17.1128,18.1352,347229168.4948,2820689254.97043
907,Binance Coin,BNB,2020-01-18 23:59:59,18.3145,17.5552,18.1296,17.8239,257317647.4301,2772273816.74863
908,Binance Coin,BNB,2020-01-19 23:59:59,18.4378,16.8411,17.831,17.3693,266285620.8435,2701556607.33912
909,Binance Coin,BNB,2020-01-20 23:59:59,17.5537,16.8644,17.3925,17.3253,245125918.5863,2694716492.1342
910,Binance Coin,BNB,2020-01-21 23:59:59,18.1467,17.1692,17.3277,18.1277,295922233.2395,2819517646.34097
911,Binance Coin,BNB,2020-01-22 23:59:59,18.3537,17.5988,18.1242,17.7984,237634401.4571,2768298454.50765
912,Binance Coin,BNB,2020-01-23 23:59:59,17.817,16.7875,17.8114,17.0214,221009513.2352,2647453374.79181
913,Binance Coin,BNB,2020-01-24 23:59:59,17.395,16.4897,17.0313,17.0474,213341614.5245,2651498155.97633
914,Binance Coin,BNB,2020-01-25 23:59:59,17.109,16.6032,17.0494,16.9761,208315918.9477,2640407667.06903
915,Binance Coin,BNB,2020-01-26 23:59:59,17.4945,16.8738,16.9733,17.4386,248646035.9364,2712347640.85295
916,Binance Coin,BNB,2020-01-27 23:59:59,17.8951,17.2798,17.4432,17.6913,227584506.063,2751653009.27103
917,Binance Coin,BNB,2020-01-28 23:59:59,18.1151,17.5,17.6835,18.1151,257579474.9606,2817568636.15013
918,Binance Coin,BNB,2020-01-29 23:59:59,18.4336,17.8838,18.0662,17.9128,221674738.8694,2786094248.02933
919,Binance Coin,BNB,2020-01-30 23:59:59,18.7032,17.7306,17.9202,18.5904,264686498.3576,2891490937.7375
920,Binance Coin,BNB,2020-01-31 23:59:59,18.841,17.8546,18.5903,18.211,245035922.0887,2832476037.41387
921,Binance Coin,BNB,2020-02-01 23:59:59,18.5701,18.067,18.2028,18.2183,238461925.1442,2833617692.68982
922,Binance Coin,BNB,2020-02-02 23:59:59,18.7693,17.8971,18.2026,18.4482,256209045.2634,2869369978.08753
923,Binance Coin,BNB,2020-02-03 23:59:59,18.7877,18.2275,18.4507,18.4628,227749149.5979,2871636148.69586
924,Binance Coin,BNB,2020-02-04 23:59:59,18.5956,17.9048,18.4661,18.1774,213533736.5988,2827247893.3172
925,Binance Coin,BNB,2020-02-05 23:59:59,19.4072,18.1706,18.1953,19.215,301486499.3204,2988645525.92937
926,Binance Coin,BNB,2020-02-06 23:59:59,20.7927,19.0771,19.2291,20.5953,394704715.8583,3203319484.46255
927,Binance Coin,BNB,2020-02-07 23:59:59,22.4798,20.4677,20.5831,22.0623,485529457.3971,3431490966.62187
