serial_number,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
2439,Bitcoin,BTC,2020-01-01 23:59:59,7254.3306,7174.9442,7194.892,7200.1744,18565664996.7884,130580829149.587
2440,Bitcoin,BTC,2020-01-02 23:59:59,7212.1553,6935.27,7202.5511,6985.47,20802083465.3292,126699395235.204
2441,Bitcoin,BTC,2020-01-03 23:59:59,7413.7151,6914.9959,6984.4286,7344.8842,28111481031.9377,133233444755.489
2442,Bitcoin,BTC,2020-01-04 23:59:59,7427.3858,7309.514,7345.3753,7410.6566,18444271274.7607,134442464030.264
2443,Bitcoin,BTC,2020-01-05 23:59:59,7544.4969,7400.5356,7410.4517,7411.3173,19725074094.5446,134469548249.076
2444,Bitcoin,BTC,2020-01-06 23:59:59,7781.8672,7409.2932,7410.4522,7769.219,23276261598.2482,140976457303.71
2445,Bitcoin,BTC,2020-01-07 23:59:59,8178.2159,7768.2277,7768.6819,8163.6922,28767291326.9703,148152237653.685
2446,Bitcoin,BTC,2020-01-08 23:59:59,8396.7379,7956.7742,8161.9355,8079.8628,31672559264.5185,146645162431.476
2447,Bitcoin,BTC,2020-01-09 23:59:59,8082.2961,7842.4036,8082.2961,7879.0715,24045990465.6494,143016572819.392
2448,Bitcoin,BTC,2020-01-10 23:59:59,8166.5541,7726.775,7878.3075,8166.5541,28714583843.7846,148249907276.742
2449,Bitcoin,BTC,2020-01-11 23:59:59,8218.3589,8029.6421,8162.1911,8037.5374,25521165085.3714,145924199942.312
2450,Bitcoin,BTC,2020-01-12 23:59:59,8200.0635,8009.0589,8033.2618,8192.494,22903438381.3875,148752956965.746
2451,Bitcoin,BTC,2020-01-13 23:59:59,8197.7882,8079.7007,8189.7721,8144.1945,22482910687.9031,147890525972.527
2452,Bitcoin,BTC,2020-01-14 23:59:59,8879.5115,8140.9331,8140.9331,8827.7644,44841784107.1774,160319484882.901
2453,Bitcoin,BTC,2020-01-15 23:59:59,8890.1174,8657.1874,8825.3437,8807.0103,40102834649.9655,159959191211.678
2454,Bitcoin,BTC,2020-01-16 23:59:59,8846.4611,8612.0958,8812.4815,8723.7858,31313981930.8235,158465055984.185
2455,Bitcoin,BTC,2020-01-17 23:59:59,8958.122,8677.3163,8725.21,8929.0377,36372139320.4446,162211148777.656
2456,Bitcoin,BTC,2020-01-18 23:59:59,9012.1981,8827.3323,8927.2123,8942.8089,32337772626.799,162475965880.12
2457,Bitcoin,BTC,2020-01-19 23:59:59,9164.3623,8620.08,8941.4457,8706.2451,34217320471.3994,158194319734.796
2458,Bitcoin,BTC,2020-01-20 23:59:59,8745.5908,8560.474,8704.6318,8657.6429,26422375678.0529,157327553259.434
2459,Bitcoin,BTC,2020-01-21 23:59:59,8755.7063,8544.5205,8658.9912,8745.8948,24097418512.0058,158947996833.847
2460,Bitcoin,BTC,2020-01-22 23:59:59,8792.9939,8636.7474,8744.2108,8680.876,22600204050.5816,157783273070.101
2461,Bitcoin,BTC,2020-01-23 23:59:59,8687.7471,8333.6379,8680.6506,8406.5161,25770680778.6907,152813329632.858
2462,Bitcoin,BTC,2020-01-24 23:59:59,8514.667,8266.8406,8405.5677,8445.4343,24397913025.6774,153536829768.103
2463,Bitcoin,BTC,2020-01-25 23:59:59,8458.453,8296.219,8440.1196,8367.8478,19647331548.6757,152143262649.888
2464,Bitcoin,BTC,2020-01-26 23:59:59,8602.4012,8325.4981,8364.4101,8596.8298,22177678795.56,156322174637.231
2465,Bitcoin,BTC,2020-01-27 23:59:59,8977.727,8597.3088,8597.3088,8909.8192,28647338393.165,162027957434.616
2466,Bitcoin,BTC,2020-01-28 23:59:59,9358.5903,8908.4469,8912.5243,9358.5903,34398744402.6914,170205617954.856
2467,Bitcoin,BTC,2020-01-29 23:59:59,9406.4318,9269.4681,9357.4704,9316.6295,30682598115.464,169460984603.208
2468,Bitcoin,BTC,2020-01-30 23:59:59,9553.1261,9230.8973,9316.017,9508.9936,32378792850.8777,172978577930.867
2469,Bitcoin,BTC,2020-01-31 23:59:59,9521.7059,9230.7762,9508.3131,9350.5294,29432489719.1331,170112778161.315
2470,Bitcoin,BTC,2020-02-01 23:59:59,9439.3233,9313.2388,9346.3576,9392.8754,25922656496.1848,170900662180.114
2471,Bitcoin,BTC,2020-02-02 23:59:59,9468.7976,9217.824,9389.8206,9344.3653,30835736946.1066,170034976661.751
2472,Bitcoin,BTC,2020-02-03 23:59:59,9540.3717,9248.6342,9344.6837,9293.5211,30934096508.7388,169126861033.712
2473,Bitcoin,BTC,2020-02-04 23:59:59,9331.2658,9112.8114,9292.8419,9180.963,29893183716.0878,167093636161.856
