serial_number,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
822,Cardano,ADA,2020-01-01 23:59:59,0.0338,0.0327,0.0328,0.0335,22948374.2649,867464516.199497
823,Cardano,ADA,2020-01-02 23:59:59,0.0335,0.0324,0.0335,0.0328,20843933.8871,849142417.414361
824,Cardano,ADA,2020-01-03 23:59:59,0.0344,0.0325,0.0327,0.0342,30162644.4405,886177804.056085
825,Cardano,ADA,2020-01-04 23:59:59,0.0347,0.0339,0.0342,0.0346,29535780.7018,896939967.338071
826,Cardano,ADA,2020-01-05 23:59:59,0.0354,0.0345,0.0346,0.0347,21479178.4711,900224705.781387
827,Cardano,ADA,2020-01-06 23:59:59,0.0373,0.0347,0.0348,0.0373,37988443.9865,966352558.035731
828,Cardano,ADA,2020-01-07 23:59:59,0.0378,0.0367,0.0373,0.037,51562679.5069,960513016.70754
829,Cardano,ADA,2020-01-08 23:59:59,0.0386,0.036,0.0371,0.0364,49193345.0766,944645769.66618
830,Cardano,ADA,2020-01-09 23:59:59,0.0364,0.0357,0.0364,0.0364,26562775.5738,942675508.171346
831,Cardano,ADA,2020-01-10 23:59:59,0.037,0.0348,0.0363,0.0369,47483943.21,956027829.808688
832,Cardano,ADA,2020-01-11 23:59:59,0.0376,0.0365,0.0369,0.0368,63485488.1077,954771090.87252
833,Cardano,ADA,2020-01-12 23:59:59,0.0377,0.0366,0.0368,0.0377,56546260.4441,977200921.920285
834,Cardano,ADA,2020-01-13 23:59:59,0.0379,0.0368,0.0377,0.037,56296774.8469,958419139.923564
835,Cardano,ADA,2020-01-14 23:59:59,0.0422,0.037,0.037,0.0417,125280205.6526,1080110770.05945
836,Cardano,ADA,2020-01-15 23:59:59,0.043,0.0404,0.0416,0.0426,111350540.2764,1103270947.27267
837,Cardano,ADA,2020-01-16 23:59:59,0.0431,0.0402,0.0426,0.0414,76686221.2278,1073150539.98986
838,Cardano,ADA,2020-01-17 23:59:59,0.0457,0.0411,0.0414,0.045,106282893.6887,1166155737.351
839,Cardano,ADA,2020-01-18 23:59:59,0.0455,0.0432,0.045,0.0449,89192475.9838,1162863288.80619
840,Cardano,ADA,2020-01-19 23:59:59,0.0458,0.0414,0.0449,0.042,91187159.1993,1088389472.20055
841,Cardano,ADA,2020-01-20 23:59:59,0.0443,0.0419,0.0419,0.0439,70100648.3222,1137486372.82829
842,Cardano,ADA,2020-01-21 23:59:59,0.0465,0.0435,0.0438,0.046,95915865.2309,1192372176.16385
843,Cardano,ADA,2020-01-22 23:59:59,0.0463,0.0453,0.0459,0.0457,67145740.1639,1183664601.31284
844,Cardano,ADA,2020-01-23 23:59:59,0.0458,0.0422,0.0457,0.0433,75034252.5617,1123513003.90483
845,Cardano,ADA,2020-01-24 23:59:59,0.0452,0.0414,0.0434,0.045,77503651.2646,1166815356.13514
846,Cardano,ADA,2020-01-25 23:59:59,0.0452,0.0431,0.045,0.0432,57389975.5021,1121299567.49964
847,Cardano,ADA,2020-01-26 23:59:59,0.0446,0.043,0.0432,0.0446,62759584.8626,1155846118.72841
848,Cardano,ADA,2020-01-27 23:59:59,0.0488,0.0442,0.0446,0.0479,97006750.3473,1242217391.34512
849,Cardano,ADA,2020-01-28 23:59:59,0.0543,0.0475,0.0478,0.0529,207996791.4848,1370415129.4208
850,Cardano,ADA,2020-01-29 23:59:59,0.0573,0.0525,0.0529,0.0535,187136957.8611,1387454345.90006
851,Cardano,ADA,2020-01-30 23:59:59,0.0569,0.0524,0.0535,0.0561,153009927.6884,1453721297.52564
852,Cardano,ADA,2020-01-31 23:59:59,0.0566,0.0523,0.056,0.0538,130754832.2132,1394699437.37552
853,Cardano,ADA,2020-02-01 23:59:59,0.0571,0.0533,0.0538,0.0561,110646744.0848,1454290892.69325
854,Cardano,ADA,2020-02-02 23:59:59,0.0584,0.0549,0.0561,0.0558,161454526.8307,1445896374.60288
855,Cardano,ADA,2020-02-03 23:59:59,0.0577,0.0554,0.0557,0.057,106658349.1175,1477304250.39997
856,Cardano,ADA,2020-02-04 23:59:59,0.0577,0.0542,0.057,0.056,108933030.543,1451818140.03661
857,Cardano,ADA,2020-02-05 23:59:59,0.0599,0.0557,0.056,0.0592,138149930.7923,1535683141.40728
858,Cardano,ADA,2020-02-06 23:59:59,0.0606,0.0583,0.0592,0.0598,136652022.9537,1549315822.68658
859,Cardano,ADA,2020-02-07 23:59:59,0.0623,0.0596,0.0598,0.0598,132154529.8973,1550188288.74774
860,Cardano,ADA,2020-02-08 23:59:59,0.0611,0.0576,0.0598,0.0599,135969080.1329,1554184887.8945
861,Cardano,ADA,2020-02-09 23:59:59,0.0622,0.0599,0.0599,0.0618,137945918.7059,1602530106.00077
862,Cardano,ADA,2020-02-10 23:59:59,0.0619,0.0585,0.0618,0.0604,137083309.1604,1565850307.72363
863,Cardano,ADA,2020-02-11 23:59:59,0.0632,0.0589,0.0603,0.0632,203550299.0791,1639312126.14036
864,Cardano,ADA,2020-02-12 23:59:59,0.0702,0.0632,0.0632,0.0684,220517194.4047,1772708812.92857
865,Cardano,ADA,2020-02-13 23:59:59,0.0721,0.066,0.0683,0.0686,251519040.6715,1778112984.6793
866,Cardano,ADA,2020-02-14 23:59:59,0.071,0.0675,0.0686,0.0706,183283803.0086,1829921956.49453
867,Cardano,ADA,2020-02-15 23:59:59,0.0711,0.0628,0.0706,0.0639,190925360.7512,1655783318.48988
868,Cardano,ADA,2020-02-16 23:59:59,0.0669,0.0574,0.064,0.0627,206918460.1618,1624425324.75347
869,Cardano,ADA,2020-02-17 23:59:59,0.0626,0.056,0.0626,0.06,198079705.9765,1556723433.86834
870,Cardano,ADA,2020-02-18 23:59:59,0.063,0.0583,0.0601,0.0626,184674402.4357,1622945092.15916
871,Cardano,ADA,2020-02-19 23:59:59,0.0629,0.0574,0.0626,0.0576,166141952.9434,1494574416.20095
872,Cardano,ADA,2020-02-20 23:59:59,0.0587,0.0559,0.0574,0.0583,201763470.455,1510507527.43115
873,Cardano,ADA,2020-02-21 23:59:59,0.0599,0.0577,0.0582,0.0586,180464940.8935,1520360746.8401
874,Cardano,ADA,2020-02-22 23:59:59,0.059,0.057,0.0586,0.0583,132866696.5278,1512484799.0925
875,Cardano,ADA,2020-02-23 23:59:59,0.0617,0.0582,0.0583,0.0615,190486306.5281,1594775788.42061
876,Cardano,ADA,2020-02-24 23:59:59,0.0617,0.0575,0.0615,0.059,203582107.7034,1528658724.94663
877,Cardano,ADA,2020-02-25 23:59:59,0.059,0.0561,0.059,0.0564,178219320.2831,1461349871.33899
878,Cardano,ADA,2020-02-26 23:59:59,0.0565,0.0474,0.0563,0.0495,207080422.5937,1282176760.61893
879,Cardano,ADA,2020-02-27 23:59:59,0.0519,0.0465,0.0494,0.0497,158104506.9044,1288192612.52669
880,Cardano,ADA,2020-02-28 23:59:59,0.0512,0.0471,0.0497,0.0486,153965236.6236,1260479441.90706
881,Cardano,ADA,2020-02-29 23:59:59,0.0499,0.0475,0.0486,0.0475,94074240.2633,1232603349.42375
882,Cardano,ADA,2020-03-01 23:59:59,0.0482,0.0453,0.0475,0.0459,96716580.6182,1190893585.98464
883,Cardano,ADA,2020-03-02 23:59:59,0.0496,0.0456,0.0459,0.049,106582073.2456,1269212106.98833
884,Cardano,ADA,2020-03-03 23:59:59,0.0494,0.0478,0.0489,0.0488,117373434.4766,1264228223.88335
885,Cardano,ADA,2020-03-04 23:59:59,0.0503,0.0482,0.0488,0.049,136505373.0352,1270530335.45688
886,Cardano,ADA,2020-03-05 23:59:59,0.0523,0.049,0.049,0.0511,112291733.8406,1323762215.23272
887,Cardano,ADA,2020-03-06 23:59:59,0.0517,0.0503,0.051,0.0514,100834828.5631,1333906156.74258
888,Cardano,ADA,2020-03-07 23:59:59,0.0517,0.0486,0.0515,0.0489,90448414.1164,1268987676.91181
889,Cardano,ADA,2020-03-08 23:59:59,0.0489,0.043,0.0489,0.0433,111437013.2737,1122415113.36029
890,Cardano,ADA,2020-03-09 23:59:59,0.0439,0.0393,0.0432,0.0415,125578007.2506,1075504681.772
891,Cardano,ADA,2020-03-10 23:59:59,0.043,0.0408,0.0416,0.0415,103411534.0333,1075849153.32693
892,Cardano,ADA,2020-03-11 23:59:59,0.0417,0.0377,0.0415,0.0396,103084587.4116,1027986945.6606
893,Cardano,ADA,2020-03-12 23:59:59,0.0397,0.024,0.0396,0.024,179944369.7534,621232514.31031
894,Cardano,ADA,2020-03-13 23:59:59,0.0292,0.0191,0.024,0.0284,202296978.279,737296260.383964
895,Cardano,ADA,2020-03-14 23:59:59,0.029,0.0257,0.0285,0.026,65051355.9935,674339082.264334
896,Cardano,ADA,2020-03-15 23:59:59,0.0288,0.0258,0.026,0.0271,67311254.1639,703131371.726447
897,Cardano,ADA,2020-03-16 23:59:59,0.0271,0.0222,0.0271,0.0241,94985576.6153,625375602.678633
898,Cardano,ADA,2020-03-17 23:59:59,0.0262,0.0241,0.0241,0.0252,75837864.0826,654479617.162587
899,Cardano,ADA,2020-03-18 23:59:59,0.026,0.0246,0.0252,0.0253,77546807.3785,656878462.835323
900,Cardano,ADA,2020-03-19 23:59:59,0.0317,0.0253,0.0253,0.0305,119348856.1105,789518106.916158
901,Cardano,ADA,2020-03-20 23:59:59,0.0337,0.0275,0.0304,0.0294,142131507.0172,761414941.565953
902,Cardano,ADA,2020-03-21 23:59:59,0.0303,0.0281,0.0294,0.0294,94598888.7442,762610838.080903
903,Cardano,ADA,2020-03-22 23:59:59,0.0303,0.027,0.0294,0.0271,78698656.4385,702337218.055167
904,Cardano,ADA,2020-03-23 23:59:59,0.0291,0.0268,0.0271,0.0291,92453323.9253,754023582.605015
905,Cardano,ADA,2020-03-24 23:59:59,0.0303,0.0287,0.0291,0.0302,88827461.2005,782026251.821912
906,Cardano,ADA,2020-03-25 23:59:59,0.0304,0.029,0.0302,0.0294,83388812.6037,763234881.105208
