serial_number,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
840,TRON,TRX,2020-01-01 23:59:59,0.0134,0.0132,0.0133,0.0132,977215884.7822,883513371.291649
841,TRON,TRX,2020-01-02 23:59:59,0.0133,0.0128,0.0133,0.0129,999867627.518,858205201.524912
842,TRON,TRX,2020-01-03 23:59:59,0.0135,0.0128,0.0129,0.0134,1109470186.5636,895850740.59438
843,TRON,TRX,2020-01-04 23:59:59,0.0135,0.0133,0.0134,0.0135,991868125.6356,901595464.775043
844,TRON,TRX,2020-01-05 23:59:59,0.0139,0.0135,0.0135,0.0136,1079591213.8998,908402721.805456
845,TRON,TRX,2020-01-06 23:59:59,0.0145,0.0136,0.0136,0.0145,1204485570.224,970098321.121267
846,TRON,TRX,2020-01-07 23:59:59,0.0147,0.0142,0.0146,0.0144,1120168579.1428,958436351.769171
847,TRON,TRX,2020-01-08 23:59:59,0.0146,0.0139,0.0144,0.0141,1120252260.9252,938166611.714918
848,TRON,TRX,2020-01-09 23:59:59,0.0141,0.0138,0.0141,0.0141,943917224.416,937735547.699754
849,TRON,TRX,2020-01-10 23:59:59,0.0148,0.0137,0.0141,0.0146,1156355119.7767,974492901.898997
850,TRON,TRX,2020-01-11 23:59:59,0.0149,0.0145,0.0146,0.0146,1176009006.9932,974520532.482476
851,TRON,TRX,2020-01-12 23:59:59,0.015,0.0145,0.0146,0.015,1151253020.8002,998598083.313288
852,TRON,TRX,2020-01-13 23:59:59,0.015,0.0146,0.015,0.0147,1067644895.959,980637605.146617
853,TRON,TRX,2020-01-14 23:59:59,0.0169,0.0147,0.0147,0.0167,1466195335.9806,1114931863.19977
854,TRON,TRX,2020-01-15 23:59:59,0.0181,0.0163,0.0167,0.0173,1462008166.888,1152526478.75773
855,TRON,TRX,2020-01-16 23:59:59,0.0173,0.0162,0.0173,0.0171,1333108082.6785,1141554643.07353
856,TRON,TRX,2020-01-17 23:59:59,0.0181,0.017,0.0172,0.0177,1420514220.3539,1177998610.03775
857,TRON,TRX,2020-01-18 23:59:59,0.0181,0.0173,0.0177,0.0177,1385173970.5866,1181324709.87154
858,TRON,TRX,2020-01-19 23:59:59,0.0181,0.0163,0.0177,0.0166,1309357591.7542,1108254027.53617
859,TRON,TRX,2020-01-20 23:59:59,0.0167,0.0162,0.0166,0.0166,1266246609.8572,1108644193.67605
860,TRON,TRX,2020-01-21 23:59:59,0.0173,0.0165,0.0166,0.0173,1239081715.1665,1154150116.77932
