serial_number,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
293,Cosmos,ATOM,2020-01-01 23:59:59,4.4676,4.2044,4.2167,4.3802,107994512.9606,835245526.833357
294,Cosmos,ATOM,2020-01-02 23:59:59,4.3813,4.0777,4.3791,4.0918,111325337.4538,780262139.632211
295,Cosmos,ATOM,2020-01-03 23:59:59,4.3566,4.0155,4.1059,4.2479,138617691.0756,810024888.130412
296,Cosmos,ATOM,2020-01-04 23:59:59,4.3856,4.2336,4.2457,4.2864,90718304.7227,817358521.388424
297,Cosmos,ATOM,2020-01-05 23:59:59,4.3951,4.2158,4.2842,4.2319,115399788.4907,806970071.744431
298,Cosmos,ATOM,2020-01-06 23:59:59,4.2512,4.0452,4.232,4.1049,139523351.1315,782765023.542144
299,Cosmos,ATOM,2020-01-07 23:59:59,4.2465,4.0691,4.1052,4.096,136691938.6051,781067565.421016
300,Cosmos,ATOM,2020-01-08 23:59:59,4.1758,3.9983,4.094,4.0106,128484379.8756,764782468.487093
301,Cosmos,ATOM,2020-01-09 23:59:59,4.2632,3.9644,4.0103,4.2632,137133708.4676,812941169.706645
302,Cosmos,ATOM,2020-01-10 23:59:59,4.448,4.2106,4.2632,4.2636,180537539.2954,813022082.280021
303,Cosmos,ATOM,2020-01-11 23:59:59,4.4303,4.2583,4.2643,4.2752,134305837.9869,815227388.623773
304,Cosmos,ATOM,2020-01-12 23:59:59,4.3478,4.2345,4.2732,4.2629,114480178.8387,812887020.143206
305,Cosmos,ATOM,2020-01-13 23:59:59,4.333,4.1349,4.2618,4.256,112376033.9938,811564035.828335
306,Cosmos,ATOM,2020-01-14 23:59:59,4.6701,4.2376,4.2546,4.5399,218081722.4368,865707914.115354
307,Cosmos,ATOM,2020-01-15 23:59:59,4.9308,4.3968,4.5363,4.5679,256937834.0892,871045052.044238
308,Cosmos,ATOM,2020-01-16 23:59:59,5.2006,4.1982,4.5688,5.0763,292509992.7462,967992097.521098
309,Cosmos,ATOM,2020-01-17 23:59:59,5.2907,4.7659,5.0981,5.0012,314099417.8956,953671093.250014
310,Cosmos,ATOM,2020-01-18 23:59:59,5.0024,4.6194,5.0024,4.6333,218755858.9203,883526140.526622
311,Cosmos,ATOM,2020-01-19 23:59:59,4.7631,4.3852,4.6353,4.5186,195479921.1987,861648059.711463
312,Cosmos,ATOM,2020-01-20 23:59:59,4.6605,4.4218,4.5144,4.5053,142814531.3606,859109294.356465
313,Cosmos,ATOM,2020-01-21 23:59:59,4.7311,4.4638,4.505,4.6494,138311352.6991,886592072.010148
314,Cosmos,ATOM,2020-01-22 23:59:59,4.6879,4.5666,4.6437,4.6521,131623771.8607,887094361.943174
315,Cosmos,ATOM,2020-01-23 23:59:59,4.6816,4.3826,4.6515,4.4445,157800493.0466,847521480.879104
316,Cosmos,ATOM,2020-01-24 23:59:59,4.5214,4.3514,4.4463,4.4845,161825963.5515,855148281.726133
317,Cosmos,ATOM,2020-01-25 23:59:59,4.4876,4.3674,4.4876,4.4151,132055629.5075,841901878.91496
318,Cosmos,ATOM,2020-01-26 23:59:59,4.4999,4.3702,4.411,4.4806,131819510.6606,854395418.452374
319,Cosmos,ATOM,2020-01-27 23:59:59,4.6676,4.4256,4.4785,4.5177,166514161.1325,861473072.609833
