serial_number,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
383,Crypto.com Coin,CRO,2020-01-01 23:59:59,0.0342,0.0336,0.0336,0.034,11329574.4677,431344660.351475
384,Crypto.com Coin,CRO,2020-01-02 23:59:59,0.034,0.0326,0.034,0.0329,10238184.5109,418637264.833287
385,Crypto.com Coin,CRO,2020-01-03 23:59:59,0.0349,0.0327,0.033,0.0347,13517005.7586,442431385.179958
386,Crypto.com Coin,CRO,2020-01-04 23:59:59,0.0349,0.0342,0.0346,0.0347,9840614.4678,443474510.380264
387,Crypto.com Coin,CRO,2020-01-05 23:59:59,0.0353,0.0346,0.0348,0.0346,7626232.6983,443334280.939918
388,Crypto.com Coin,CRO,2020-01-06 23:59:59,0.0365,0.0346,0.0347,0.0365,10044474.8609,468610085.588146
389,Crypto.com Coin,CRO,2020-01-07 23:59:59,0.0384,0.0366,0.0366,0.0382,5271186.644,491118608.743279
390,Crypto.com Coin,CRO,2020-01-08 23:59:59,0.0419,0.0382,0.0382,0.0402,6041244.6644,517352135.128411
391,Crypto.com Coin,CRO,2020-01-09 23:59:59,0.0403,0.0385,0.0403,0.0387,11042954.4516,499522797.133672
392,Crypto.com Coin,CRO,2020-01-10 23:59:59,0.0405,0.0381,0.0387,0.0405,15037914.5556,522561588.502105
393,Crypto.com Coin,CRO,2020-01-11 23:59:59,0.0411,0.0398,0.0405,0.0402,15910131.1568,520742850.287546
394,Crypto.com Coin,CRO,2020-01-12 23:59:59,0.0413,0.04,0.0403,0.0411,15933826.5597,532860818.011418
395,Crypto.com Coin,CRO,2020-01-13 23:59:59,0.0415,0.0403,0.0411,0.0412,7392187.8509,534965139.923822
396,Crypto.com Coin,CRO,2020-01-14 23:59:59,0.0439,0.0411,0.0412,0.0437,6228652.0439,568272781.408049
397,Crypto.com Coin,CRO,2020-01-15 23:59:59,0.0458,0.0429,0.0436,0.0456,11692085.8011,593685587.112446
398,Crypto.com Coin,CRO,2020-01-16 23:59:59,0.0462,0.0446,0.0456,0.0461,16061791.5344,601738282.130133
399,Crypto.com Coin,CRO,2020-01-17 23:59:59,0.0472,0.0457,0.0461,0.0471,19425074.9439,616071499.894206
400,Crypto.com Coin,CRO,2020-01-18 23:59:59,0.0555,0.0467,0.0471,0.0473,9781479.2346,618421583.746872
401,Crypto.com Coin,CRO,2020-01-19 23:59:59,0.0484,0.0462,0.0473,0.0464,8578536.4475,606065742.500815
402,Crypto.com Coin,CRO,2020-01-20 23:59:59,0.0476,0.0461,0.0465,0.0472,16776457.1287,616320011.833771
403,Crypto.com Coin,CRO,2020-01-21 23:59:59,0.0477,0.0463,0.0471,0.0476,18718214.2397,622597062.491485
404,Crypto.com Coin,CRO,2020-01-22 23:59:59,0.0483,0.0473,0.0475,0.0481,16110724.4546,633817774.358039
405,Crypto.com Coin,CRO,2020-01-23 23:59:59,0.0482,0.0457,0.0481,0.0465,12561724.3192,613645367.672776
406,Crypto.com Coin,CRO,2020-01-24 23:59:59,0.0471,0.0456,0.0465,0.0467,19098843.1221,616352520.423303
407,Crypto.com Coin,CRO,2020-01-25 23:59:59,0.0467,0.0456,0.0467,0.0462,18470753.4074,610187094.609903
408,Crypto.com Coin,CRO,2020-01-26 23:59:59,0.0475,0.0458,0.0463,0.0474,10759313.1172,628947190.104262
409,Crypto.com Coin,CRO,2020-01-27 23:59:59,0.0494,0.0473,0.0474,0.0491,10449071.1365,652267960.311285
410,Crypto.com Coin,CRO,2020-01-28 23:59:59,0.0524,0.0487,0.0491,0.0523,10067207.5293,696455551.747421
411,Crypto.com Coin,CRO,2020-01-29 23:59:59,0.0535,0.0512,0.0523,0.052,6290559.0082,693791249.876364
412,Crypto.com Coin,CRO,2020-01-30 23:59:59,0.0531,0.0514,0.0521,0.0529,4999481.9962,706420685.985124
