serial_number,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,NEM,XEM,2015-04-02 23:59:59,0.0003,0.0002,0.0002,0.0003,28549.4004,2823533.99969
2,NEM,XEM,2015-04-03 23:59:59,0.0003,0.0003,0.0003,0.0003,20677.9004,2792456.99969
3,NEM,XEM,2015-04-04 23:59:59,0.0003,0.0003,0.0003,0.0003,23550.1992,2488769.99972
4,NEM,XEM,2015-04-05 23:59:59,0.0003,0.0002,0.0003,0.0002,26800.1992,2087387.99977
5,NEM,XEM,2015-04-06 23:59:59,0.0003,0.0002,0.0002,0.0003,22511.5,2598353.99971
6,NEM,XEM,2015-04-07 23:59:59,0.0003,0.0002,0.0003,0.0002,14437.0,2164688.99976
7,NEM,XEM,2015-04-08 23:59:59,0.0003,0.0002,0.0002,0.0002,6932.8501,2050829.99977
8,NEM,XEM,2015-04-09 23:59:59,0.0002,0.0002,0.0002,0.0002,10013.5996,2017637.99978
9,NEM,XEM,2015-04-10 23:59:59,0.0002,0.0002,0.0002,0.0002,16846.0,1572236.99983
10,NEM,XEM,2015-04-11 23:59:59,0.0002,0.0001,0.0002,0.0002,22845.9004,1470059.99984
11,NEM,XEM,2015-04-12 23:59:59,0.0002,0.0001,0.0002,0.0001,5568.8901,1317734.99985
12,NEM,XEM,2015-04-13 23:59:59,0.0002,0.0001,0.0001,0.0001,11803.0996,1253195.99986
13,NEM,XEM,2015-04-14 23:59:59,0.0002,0.0001,0.0001,0.0002,14653.9004,1380698.99985
14,NEM,XEM,2015-04-15 23:59:59,0.0002,0.0001,0.0002,0.0002,8196.0996,1390895.99985
15,NEM,XEM,2015-04-16 23:59:59,0.0002,0.0002,0.0002,0.0002,5316.8999,1471319.99984
16,NEM,XEM,2015-04-17 23:59:59,0.0002,0.0002,0.0002,0.0002,4556.29,1503206.99983
17,NEM,XEM,2015-04-18 23:59:59,0.0002,0.0001,0.0002,0.0001,9116.9102,1268360.99986
18,NEM,XEM,2015-04-19 23:59:59,0.0002,0.0001,0.0001,0.0001,7192.8901,1324079.99985
19,NEM,XEM,2015-04-20 23:59:59,0.0002,0.0001,0.0001,0.0001,6680.6802,1194209.99987
20,NEM,XEM,2015-04-21 23:59:59,0.0001,0.0001,0.0001,0.0001,3911.73,1231379.99986
21,NEM,XEM,2015-04-22 23:59:59,0.0001,0.0001,0.0001,0.0001,2352.53,1245239.99986
22,NEM,XEM,2015-04-23 23:59:59,0.0001,0.0001,0.0001,0.0001,2116.9399,1236572.99986
23,NEM,XEM,2015-04-24 23:59:59,0.0001,0.0001,0.0001,0.0001,3058.47,1345544.99985
24,NEM,XEM,2015-04-25 23:59:59,0.0001,0.0001,0.0001,0.0001,2480.3899,1263752.99986
25,NEM,XEM,2015-04-26 23:59:59,0.0001,0.0001,0.0001,0.0001,2073.5601,1206044.99987
26,NEM,XEM,2015-04-27 23:59:59,0.0002,0.0001,0.0001,0.0002,6659.6401,1464857.99984
27,NEM,XEM,2015-04-28 23:59:59,0.0002,0.0001,0.0002,0.0001,3357.99,1339154.99985
28,NEM,XEM,2015-04-29 23:59:59,0.0002,0.0001,0.0001,0.0001,2013.3199,1324835.99985
29,NEM,XEM,2015-04-30 23:59:59,0.0002,0.0001,0.0001,0.0002,958.796,1414223.99984
30,NEM,XEM,2015-05-01 23:59:59,0.0002,0.0002,0.0002,0.0002,692.366,1400066.99984
31,NEM,XEM,2015-05-02 23:59:59,0.0002,0.0001,0.0002,0.0002,1542.92,1395917.99984
32,NEM,XEM,2015-05-03 23:59:59,0.0002,0.0001,0.0002,0.0001,4417.1602,1340711.99985
33,NEM,XEM,2015-05-04 23:59:59,0.0002,0.0001,0.0001,0.0002,2595.3701,1356785.99985
34,NEM,XEM,2015-05-05 23:59:59,0.0002,0.0001,0.0002,0.0001,3974.4399,1269404.99986
35,NEM,XEM,2015-05-06 23:59:59,0.0001,0.0001,0.0001,0.0001,1124.71,1282616.99986
