serial_number,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Bitcoin,BTC,2013-04-29 23:59:59,147.488,134.0,134.444,144.54,0.0,1603768864.5
2,Bitcoin,BTC,2013-04-30 23:59:59,146.93,134.05,144.0,139.0,0.0,1542813125.0
3,Bitcoin,BTC,2013-05-01 23:59:59,139.89,107.72,139.0,116.99,0.0,1298954593.75
4,Bitcoin,BTC,2013-05-02 23:59:59,125.6,92.2819,116.38,105.21,0.0,1168517495.25
5,Bitcoin,BTC,2013-05-03 23:59:59,108.128,79.1,106.25,97.75,0.0,1085995168.75
6,Bitcoin,BTC,2013-05-04 23:59:59,115.0,92.5,98.1,112.5,0.0,1250316562.5
7,Bitcoin,BTC,2013-05-05 23:59:59,118.8,107.143,112.9,115.91,0.0,1288693175.5
8,Bitcoin,BTC,2013-05-06 23:59:59,124.663,106.64,115.98,112.3,0.0,1249023060.0
9,Bitcoin,BTC,2013-05-07 23:59:59,113.444,97.7,112.25,111.5,0.0,1240593600.0
10,Bitcoin,BTC,2013-05-08 23:59:59,115.78,109.6,109.6,113.566,0.0,1264049202.15
11,Bitcoin,BTC,2013-05-09 23:59:59,113.46,109.26,113.2,112.67,0.0,1254535382.0
12,Bitcoin,BTC,2013-05-10 23:59:59,122.0,111.551,112.799,117.2,0.0,1305479080.0
13,Bitcoin,BTC,2013-05-11 23:59:59,118.679,113.01,117.7,115.243,0.0,1284207489.42
14,Bitcoin,BTC,2013-05-12 23:59:59,117.449,113.435,115.64,115.0,0.0,1281982625.0
15,Bitcoin,BTC,2013-05-13 23:59:59,118.699,114.5,114.82,117.98,0.0,1315710010.5
16,Bitcoin,BTC,2013-05-14 23:59:59,119.8,110.25,117.98,111.5,0.0,1243874487.5
17,Bitcoin,BTC,2013-05-15 23:59:59,115.81,103.5,111.4,114.22,0.0,1274623812.5
18,Bitcoin,BTC,2013-05-16 23:59:59,118.76,112.2,114.22,118.76,0.0,1325726787.0
19,Bitcoin,BTC,2013-05-17 23:59:59,125.3,116.571,118.21,123.015,0.0,1373723881.88
20,Bitcoin,BTC,2013-05-18 23:59:59,125.25,122.3,123.5,123.498,0.0,1379574545.85
21,Bitcoin,BTC,2013-05-19 23:59:59,124.5,119.571,123.211,121.99,0.0,1363204702.75
22,Bitcoin,BTC,2013-05-20 23:59:59,123.621,120.12,122.5,122.0,0.0,1363709900.0
23,Bitcoin,BTC,2013-05-21 23:59:59,123.0,121.21,122.02,122.88,0.0,1374013440.0
24,Bitcoin,BTC,2013-05-22 23:59:59,124.001,122.0,122.89,123.889,0.0,1385778992.85
25,Bitcoin,BTC,2013-05-23 23:59:59,126.934,123.1,123.8,126.7,0.0,1417769832.5
26,Bitcoin,BTC,2013-05-24 23:59:59,133.85,125.719,126.3,133.2,0.0,1491070770.0
27,Bitcoin,BTC,2013-05-25 23:59:59,133.219,128.9,133.1,131.98,0.0,1477958233.0
28,Bitcoin,BTC,2013-05-26 23:59:59,136.0,130.615,131.986,133.48,0.0,1495293015.0
29,Bitcoin,BTC,2013-05-27 23:59:59,135.465,124.7,133.5,129.745,0.0,1454029509.62
