serial_number,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Chainlink,LINK,2017-09-21 23:59:59,0.2079,0.1553,0.1891,0.1697,2126270.0,59388000.0
2,Chainlink,LINK,2017-09-22 23:59:59,0.1817,0.1399,0.1698,0.1505,1423220.0,52676050.0
3,Chainlink,LINK,2017-09-23 23:59:59,0.1574,0.1263,0.1496,0.1311,1186670.0,45895150.0
4,Chainlink,LINK,2017-09-24 23:59:59,0.1902,0.1303,0.1311,0.1703,1025740.0,59597300.0
5,Chainlink,LINK,2017-09-25 23:59:59,0.1826,0.1586,0.1706,0.1822,1021370.0,63769300.0
6,Chainlink,LINK,2017-09-26 23:59:59,0.2232,0.182,0.182,0.195,1319050.0,68235300.0
7,Chainlink,LINK,2017-09-27 23:59:59,0.2061,0.1943,0.1947,0.1946,1097010.0,68105100.0
8,Chainlink,LINK,2017-09-28 23:59:59,0.2838,0.1913,0.1934,0.2438,8113680.0,85328250.0
9,Chainlink,LINK,2017-09-29 23:59:59,0.3349,0.2144,0.2454,0.3084,8896430.0,107954000.0
10,Chainlink,LINK,2017-09-30 23:59:59,0.4726,0.3001,0.3125,0.4514,23440700.0,157977400.0
11,Chainlink,LINK,2017-10-01 23:59:59,0.4519,0.382,0.4515,0.4366,10005100.0,152826450.0
12,Chainlink,LINK,2017-10-02 23:59:59,0.4403,0.3568,0.4377,0.3568,7101340.0,124868450.0
13,Chainlink,LINK,2017-10-03 23:59:59,0.3673,0.2958,0.3673,0.3455,8211990.0,120937250.0
14,Chainlink,LINK,2017-10-04 23:59:59,0.3987,0.3369,0.3432,0.3974,7604930.0,139076350.0
15,Chainlink,LINK,2017-10-05 23:59:59,0.4179,0.378,0.397,0.4065,6291110.0,142288300.0
16,Chainlink,LINK,2017-10-06 23:59:59,0.485,0.4043,0.4063,0.4758,12167500.0,166517750.0
17,Chainlink,LINK,2017-10-07 23:59:59,0.4762,0.4238,0.4722,0.4637,7408570.0,162279950.0
18,Chainlink,LINK,2017-10-08 23:59:59,0.4734,0.3581,0.4625,0.3971,7203350.0,138997950.0
19,Chainlink,LINK,2017-10-09 23:59:59,0.4396,0.3572,0.4045,0.3806,6781680.0,133206150.0
20,Chainlink,LINK,2017-10-10 23:59:59,0.4331,0.3603,0.3804,0.4075,7138890.0,142614150.0
21,Chainlink,LINK,2017-10-11 23:59:59,0.4541,0.4088,0.4163,0.4505,5477860.0,157662050.0
22,Chainlink,LINK,2017-10-12 23:59:59,0.4758,0.423,0.4529,0.444,8959280.0,155403850.0
23,Chainlink,LINK,2017-10-13 23:59:59,0.4738,0.4141,0.4416,0.4346,7521630.0,152111050.0
24,Chainlink,LINK,2017-10-14 23:59:59,0.4594,0.3892,0.4348,0.3919,4219350.0,137151000.0
25,Chainlink,LINK,2017-10-15 23:59:59,0.4237,0.3707,0.3911,0.4135,5135330.0,144730600.0
26,Chainlink,LINK,2017-10-16 23:59:59,0.5277,0.3895,0.4155,0.4238,12123000.0,148332450.0
27,Chainlink,LINK,2017-10-17 23:59:59,0.4224,0.3592,0.4224,0.4008,6321060.0,140296800.0
28,Chainlink,LINK,2017-10-18 23:59:59,0.4027,0.3258,0.4027,0.3662,5336930.0,128180150.0
29,Chainlink,LINK,2017-10-19 23:59:59,0.3773,0.2939,0.3678,0.3,5812480.0,105000000.0
30,Chainlink,LINK,2017-10-20 23:59:59,0.324,0.2163,0.2989,0.2239,7715660.0,78355900.0
31,Chainlink,LINK,2017-10-21 23:59:59,0.2663,0.2032,0.2234,0.2527,5154740.0,88438350.0
32,Chainlink,LINK,2017-10-22 23:59:59,0.286,0.2498,0.2582,0.2647,4038780.0,92643250.0
33,Chainlink,LINK,2017-10-23 23:59:59,0.2768,0.2284,0.2639,0.2487,2972470.0,87036250.0
34,Chainlink,LINK,2017-10-24 23:59:59,0.2948,0.2361,0.2448,0.2545,3665750.0,89058550.0
35,Chainlink,LINK,2017-10-25 23:59:59,0.2577,0.2358,0.2553,0.2544,2161880.0,89052250.0
36,Chainlink,LINK,2017-10-26 23:59:59,0.254,0.2242,0.254,0.227,1681240.0,79464350.0
37,Chainlink,LINK,2017-10-27 23:59:59,0.2351,0.2197,0.2276,0.2246,1419580.0,78625400.0
38,Chainlink,LINK,2017-10-28 23:59:59,0.227,0.1992,0.2246,0.2065,1522820.0,72285850.0
39,Chainlink,LINK,2017-10-29 23:59:59,0.2187,0.1827,0.2056,0.1989,2352990.0,69606600.0
40,Chainlink,LINK,2017-10-30 23:59:59,0.2109,0.1959,0.1992,0.2098,1492410.0,73447150.0
41,Chainlink,LINK,2017-10-31 23:59:59,0.2213,0.1847,0.2115,0.1939,2251570.0,67869200.0
42,Chainlink,LINK,2017-11-01 23:59:59,0.1904,0.1553,0.1904,0.1576,3130450.0,55163850.0
43,Chainlink,LINK,2017-11-02 23:59:59,0.1944,0.1384,0.1568,0.1674,3643740.0,58599450.0
44,Chainlink,LINK,2017-11-03 23:59:59,0.1883,0.1581,0.1611,0.1718,2411460.0,60129300.0
45,Chainlink,LINK,2017-11-04 23:59:59,0.1857,0.1624,0.1703,0.1776,1757130.0,62161050.0
46,Chainlink,LINK,2017-11-05 23:59:59,0.1825,0.1696,0.1769,0.1721,1080670.0,60220650.0
47,Chainlink,LINK,2017-11-06 23:59:59,0.1735,0.1569,0.1734,0.1675,1599470.0,58609600.0
48,Chainlink,LINK,2017-11-07 23:59:59,0.1776,0.1623,0.1678,0.1775,1267510.0,62138650.0
