serial_number,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Litecoin,LTC,2013-04-29 23:59:59,4.5736,4.2256,4.3668,4.3839,0.0,75388963.842
2,Litecoin,LTC,2013-04-30 23:59:59,4.5724,4.169,4.4035,4.2965,0.0,74020917.9127
3,Litecoin,LTC,2013-05-01 23:59:59,4.3569,3.5203,4.2895,3.801,0.0,65604596.3778
4,Litecoin,LTC,2013-05-02 23:59:59,4.0393,3.0072,3.78,3.372,0.0,58287978.8404
5,Litecoin,LTC,2013-05-03 23:59:59,3.4536,2.3959,3.3904,3.0449,0.0,52694847.0708
6,Litecoin,LTC,2013-05-04 23:59:59,3.6383,2.8953,3.0323,3.4796,0.0,60290867.7155
7,Litecoin,LTC,2013-05-05 23:59:59,3.6925,3.3461,3.4931,3.5909,0.0,62298185.4291
8,Litecoin,LTC,2013-05-06 23:59:59,3.781,3.116,3.5942,3.3712,0.0,58594361.235
9,Litecoin,LTC,2013-05-07 23:59:59,3.4067,2.9398,3.3709,3.3327,0.0,58051265.0352
10,Litecoin,LTC,2013-05-08 23:59:59,3.4911,3.2836,3.2836,3.4092,0.0,59508216.0152
11,Litecoin,LTC,2013-05-09 23:59:59,3.4417,3.2949,3.3994,3.4162,0.0,59755569.092
12,Litecoin,LTC,2013-05-10 23:59:59,3.6316,3.3672,3.4065,3.4433,0.0,60358926.6612
13,Litecoin,LTC,2013-05-11 23:59:59,3.4798,3.3006,3.4604,3.349,0.0,58809512.5488
14,Litecoin,LTC,2013-05-12 23:59:59,3.4222,3.2159,3.3628,3.2694,0.0,57513319.9785
15,Litecoin,LTC,2013-05-13 23:59:59,3.3734,3.199,3.2609,3.2798,0.0,57790879.1952
16,Litecoin,LTC,2013-05-14 23:59:59,3.3319,2.7772,3.281,2.8243,0.0,49847567.579
17,Litecoin,LTC,2013-05-15 23:59:59,3.0358,2.6393,2.824,2.9355,0.0,51891652.211
18,Litecoin,LTC,2013-05-16 23:59:59,2.9677,2.6851,2.9297,2.9191,0.0,51685880.3376
19,Litecoin,LTC,2013-05-17 23:59:59,3.3353,2.8708,2.8914,3.1861,0.0,56498073.7257
20,Litecoin,LTC,2013-05-18 23:59:59,3.3637,3.1309,3.1986,3.2949,0.0,58518793.7122
21,Litecoin,LTC,2013-05-19 23:59:59,3.4123,3.1879,3.3021,3.3035,0.0,58760676.4145
22,Litecoin,LTC,2013-05-20 23:59:59,3.3233,3.15,3.3149,3.1818,0.0,56682748.951
23,Litecoin,LTC,2013-05-21 23:59:59,3.216,3.0409,3.1933,3.0868,0.0,55073034.1595
24,Litecoin,LTC,2013-05-22 23:59:59,3.1353,3.0312,3.0919,3.1208,0.0,55766901.417
25,Litecoin,LTC,2013-05-23 23:59:59,3.1865,3.0908,3.1185,3.1814,0.0,56949220.3738
26,Litecoin,LTC,2013-05-24 23:59:59,3.1855,3.0366,3.1701,3.1795,0.0,57017468.5839
27,Litecoin,LTC,2013-05-25 23:59:59,3.1955,3.0548,3.1878,3.1187,0.0,56026342.7178
28,Litecoin,LTC,2013-05-26 23:59:59,3.3274,3.0873,3.1241,3.2489,0.0,58457958.0306
29,Litecoin,LTC,2013-05-27 23:59:59,3.2618,3.019,3.2307,3.1009,0.0,55882131.6956
30,Litecoin,LTC,2013-05-28 23:59:59,3.13,3.0194,3.1028,3.0921,0.0,55813731.901
31,Litecoin,LTC,2013-05-29 23:59:59,3.1233,3.0197,3.0921,3.0958,0.0,55971818.8193
32,Litecoin,LTC,2013-05-30 23:59:59,3.0928,2.8842,3.0775,2.9714,0.0,53812627.6331
33,Litecoin,LTC,2013-05-31 23:59:59,2.9882,2.6888,2.9714,2.9567,0.0,53635813.2007
34,Litecoin,LTC,2013-06-01 23:59:59,2.9746,2.8027,2.9421,2.8265,0.0,51354548.481
35,Litecoin,LTC,2013-06-02 23:59:59,2.8638,2.5587,2.8278,2.7271,0.0,49625822.6165
36,Litecoin,LTC,2013-06-03 23:59:59,2.7546,2.6135,2.7305,2.7256,0.0,49674159.5702
37,Litecoin,LTC,2013-06-04 23:59:59,2.8957,2.7033,2.7033,2.8667,0.0,52324427.4459
38,Litecoin,LTC,2013-06-05 23:59:59,2.9854,2.8113,2.8675,2.8624,0.0,52331672.3172
39,Litecoin,LTC,2013-06-06 23:59:59,2.9065,2.7448,2.8768,2.7541,0.0,50432630.2205
40,Litecoin,LTC,2013-06-07 23:59:59,2.7937,2.5115,2.7791,2.6024,0.0,47740050.7751
41,Litecoin,LTC,2013-06-08 23:59:59,2.6575,2.5362,2.6041,2.5624,0.0,47088867.5095
42,Litecoin,LTC,2013-06-09 23:59:59,2.5879,2.0727,2.5527,2.383,0.0,43858290.482
43,Litecoin,LTC,2013-06-10 23:59:59,2.5803,2.2612,2.3844,2.4875,0.0,45853396.6991
44,Litecoin,LTC,2013-06-11 23:59:59,2.4989,2.181,2.4928,2.398,0.0,44270317.3619
45,Litecoin,LTC,2013-06-12 23:59:59,2.4542,2.308,2.4122,2.3847,0.0,44101286.2173
46,Litecoin,LTC,2013-06-13 23:59:59,2.4863,2.2277,2.3985,2.2703,0.0,42056097.8573
47,Litecoin,LTC,2013-06-14 23:59:59,2.2887,2.09,2.2692,2.1346,0.0,39610212.5232
48,Litecoin,LTC,2013-06-15 23:59:59,2.2085,2.0487,2.139,2.1058,0.0,39124632.848
49,Litecoin,LTC,2013-06-16 23:59:59,2.1502,2.0171,2.0858,2.1295,0.0,39617093.1315
50,Litecoin,LTC,2013-06-17 23:59:59,2.289,2.0924,2.1389,2.2781,0.0,42440639.5123
51,Litecoin,LTC,2013-06-18 23:59:59,2.374,2.1879,2.2816,2.3102,0.0,43109745.0852
52,Litecoin,LTC,2013-06-19 23:59:59,2.3388,2.2518,2.3048,2.3003,0.0,43008862.2093
53,Litecoin,LTC,2013-06-20 23:59:59,2.4003,2.2682,2.2982,2.2867,0.0,42832831.4988
54,Litecoin,LTC,2013-06-21 23:59:59,2.8667,2.2657,2.326,2.8667,0.0,53781211.0928
55,Litecoin,LTC,2013-06-22 23:59:59,3.5843,2.6645,2.8634,2.9241,0.0,54938148.7014
56,Litecoin,LTC,2013-06-23 23:59:59,3.3372,2.8954,2.8976,3.1172,0.0,58663905.0007
57,Litecoin,LTC,2013-06-24 23:59:59,3.1482,2.7051,3.1345,2.8746,0.0,54188144.1623
58,Litecoin,LTC,2013-06-25 23:59:59,2.9071,2.7709,2.8483,2.8233,0.0,53299726.2651
59,Litecoin,LTC,2013-06-26 23:59:59,2.9469,2.7548,2.8064,2.86,0.0,54085900.44
60,Litecoin,LTC,2013-06-27 23:59:59,3.0318,2.8391,2.8808,3.0198,0.0,57201137.8061
61,Litecoin,LTC,2013-06-28 23:59:59,3.0368,2.6675,3.0368,2.7477,0.0,52128119.3132
62,Litecoin,LTC,2013-06-29 23:59:59,2.9277,2.7028,2.7612,2.7947,0.0,53106258.7709
63,Litecoin,LTC,2013-06-30 23:59:59,3.0017,2.7654,2.7882,2.9805,0.0,56721476.4462
64,Litecoin,LTC,2013-07-01 23:59:59,3.3045,2.8756,3.0092,2.9488,0.0,56208962.1382
65,Litecoin,LTC,2013-07-02 23:59:59,3.0342,2.8064,2.9497,2.8347,0.0,54124595.9229
66,Litecoin,LTC,2013-07-03 23:59:59,3.0278,2.6094,2.8468,2.6151,0.0,50009684.0754
67,Litecoin,LTC,2013-07-04 23:59:59,2.7765,2.4934,2.6752,2.7258,0.0,52211619.5832
