serial_number,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1975,Stellar,XLM,2020-01-01 23:59:59,0.0458,0.0434,0.0451,0.0455,168402204.2456,911500591.588096
1976,Stellar,XLM,2020-01-02 23:59:59,0.0456,0.0436,0.0454,0.0441,151848962.7067,884665837.808713
1977,Stellar,XLM,2020-01-03 23:59:59,0.0459,0.0435,0.044,0.0452,168931017.9276,907150288.347422
1978,Stellar,XLM,2020-01-04 23:59:59,0.0463,0.0443,0.0452,0.0463,152253766.0704,927967117.340252
1979,Stellar,XLM,2020-01-05 23:59:59,0.0467,0.0448,0.0462,0.0454,165956087.3826,909657060.257313
1980,Stellar,XLM,2020-01-06 23:59:59,0.0493,0.0452,0.0454,0.0491,248276597.579,981165303.548136
1981,Stellar,XLM,2020-01-07 23:59:59,0.0503,0.0479,0.049,0.0498,239407285.9962,995321993.767926
1982,Stellar,XLM,2020-01-08 23:59:59,0.0501,0.0467,0.0499,0.0487,213522155.9713,972927110.97345
1983,Stellar,XLM,2020-01-09 23:59:59,0.0492,0.0457,0.0476,0.0465,171728899.4242,927922895.547765
1984,Stellar,XLM,2020-01-10 23:59:59,0.0483,0.0458,0.0463,0.0464,211752195.1362,926865626.925498
1985,Stellar,XLM,2020-01-11 23:59:59,0.0492,0.0461,0.0464,0.0475,216830961.3937,949740467.802604
1986,Stellar,XLM,2020-01-12 23:59:59,0.049,0.0468,0.0476,0.0483,207151685.0989,965205441.832459
1987,Stellar,XLM,2020-01-13 23:59:59,0.0485,0.0464,0.0482,0.0481,224390628.5269,961732457.489612
1988,Stellar,XLM,2020-01-14 23:59:59,0.0535,0.0481,0.0481,0.0521,325107090.7472,1041718995.59772
1989,Stellar,XLM,2020-01-15 23:59:59,0.0555,0.051,0.052,0.0548,334258693.1343,1095162182.53844
1990,Stellar,XLM,2020-01-16 23:59:59,0.055,0.0518,0.0548,0.0537,316566306.9952,1074496622.29567
1991,Stellar,XLM,2020-01-17 23:59:59,0.0628,0.0527,0.0538,0.0601,519487809.1423,1200675456.57708
1992,Stellar,XLM,2020-01-18 23:59:59,0.0646,0.057,0.06,0.0612,619953487.6933,1225443375.62717
1993,Stellar,XLM,2020-01-19 23:59:59,0.0656,0.0589,0.0611,0.06,557236013.4117,1203196279.41386
1994,Stellar,XLM,2020-01-20 23:59:59,0.0646,0.0594,0.06,0.062,570944248.7782,1243262125.30571
1995,Stellar,XLM,2020-01-21 23:59:59,0.0639,0.0616,0.062,0.0624,404072680.1075,1251502830.10487
1996,Stellar,XLM,2020-01-22 23:59:59,0.0638,0.0598,0.0624,0.0599,334827929.4067,1201010415.27558
1997,Stellar,XLM,2020-01-23 23:59:59,0.0612,0.0568,0.06,0.0592,383108494.9297,1188095062.98179
1998,Stellar,XLM,2020-01-24 23:59:59,0.0595,0.0541,0.0594,0.0573,382153105.3979,1149419046.66213
1999,Stellar,XLM,2020-01-25 23:59:59,0.0579,0.0558,0.0573,0.056,319119540.4098,1124060742.74862
2000,Stellar,XLM,2020-01-26 23:59:59,0.0595,0.0557,0.0561,0.0586,325709372.8115,1174877295.62489
2001,Stellar,XLM,2020-01-27 23:59:59,0.0615,0.0576,0.0587,0.0596,354309857.9849,1196397983.15134
2002,Stellar,XLM,2020-01-28 23:59:59,0.0618,0.0592,0.0596,0.0603,435796279.7878,1209732371.87222
2003,Stellar,XLM,2020-01-29 23:59:59,0.0626,0.059,0.0603,0.0617,408058901.8994,1238546132.03359
2004,Stellar,XLM,2020-01-30 23:59:59,0.063,0.0601,0.0617,0.0612,382600193.2471,1227871265.61885
2005,Stellar,XLM,2020-01-31 23:59:59,0.0636,0.0599,0.0613,0.0616,365221347.5181,1234837874.3665
2006,Stellar,XLM,2020-02-01 23:59:59,0.0626,0.0594,0.0615,0.0605,351749271.3524,1213096236.38826
2007,Stellar,XLM,2020-02-02 23:59:59,0.0658,0.0601,0.0605,0.0634,459980665.7287,1271202562.86262
2008,Stellar,XLM,2020-02-03 23:59:59,0.0654,0.0631,0.0634,0.0641,386201629.4714,1285126688.53244
2009,Stellar,XLM,2020-02-04 23:59:59,0.0667,0.0621,0.0641,0.0663,435813335.582,1329865439.28453
2010,Stellar,XLM,2020-02-05 23:59:59,0.0691,0.0659,0.0663,0.0687,520288060.5832,1378865162.02072
2011,Stellar,XLM,2020-02-06 23:59:59,0.0712,0.0676,0.0688,0.0705,516539220.3208,1415482427.85054
2012,Stellar,XLM,2020-02-07 23:59:59,0.0729,0.0702,0.0705,0.0716,519263943.0133,1438149359.24313
2013,Stellar,XLM,2020-02-08 23:59:59,0.0723,0.0684,0.0716,0.0709,479921993.9367,1422649989.43201
2014,Stellar,XLM,2020-02-09 23:59:59,0.0744,0.0701,0.0708,0.0728,477162368.4589,1462155253.41153
2015,Stellar,XLM,2020-02-10 23:59:59,0.0736,0.0693,0.073,0.0709,514592414.4181,1422686767.88945
2016,Stellar,XLM,2020-02-11 23:59:59,0.0742,0.0693,0.0709,0.0737,518483532.5838,1480628374.79962
2017,Stellar,XLM,2020-02-12 23:59:59,0.0818,0.0737,0.0737,0.08,733460110.8296,1607097049.52878
2018,Stellar,XLM,2020-02-13 23:59:59,0.0867,0.0791,0.08,0.0827,849232918.3463,1659743837.7686
2019,Stellar,XLM,2020-02-14 23:59:59,0.0866,0.0803,0.0826,0.0858,640075025.2001,1731666468.99428
2020,Stellar,XLM,2020-02-15 23:59:59,0.0873,0.0779,0.0858,0.0792,577812167.5898,1599467709.96681
2021,Stellar,XLM,2020-02-16 23:59:59,0.0813,0.0692,0.0794,0.0751,632562189.2607,1515349949.35362
2022,Stellar,XLM,2020-02-17 23:59:59,0.075,0.0679,0.0749,0.0719,619668936.5308,1450201718.66336
2023,Stellar,XLM,2020-02-18 23:59:59,0.0775,0.0707,0.0719,0.0746,521725957.0329,1506678243.09916
2024,Stellar,XLM,2020-02-19 23:59:59,0.0786,0.07,0.0755,0.0707,438696624.6314,1427630785.2461
2025,Stellar,XLM,2020-02-20 23:59:59,0.0719,0.0691,0.0707,0.0712,496888762.4321,1436695196.15703
2026,Stellar,XLM,2020-02-21 23:59:59,0.0734,0.0708,0.0711,0.072,467029257.3109,1453244010.07539
2027,Stellar,XLM,2020-02-22 23:59:59,0.0724,0.069,0.072,0.0694,398582854.4883,1401477520.82533
2028,Stellar,XLM,2020-02-23 23:59:59,0.0737,0.0691,0.0695,0.0736,432366513.8462,1487408610.56904
2029,Stellar,XLM,2020-02-24 23:59:59,0.0736,0.0687,0.0735,0.0694,465871327.5292,1401822757.3879
2030,Stellar,XLM,2020-02-25 23:59:59,0.0701,0.065,0.0694,0.0653,461517993.1198,1319900179.08415
2031,Stellar,XLM,2020-02-26 23:59:59,0.0655,0.0574,0.0653,0.0593,505300519.1106,1198211736.29084
2032,Stellar,XLM,2020-02-27 23:59:59,0.0624,0.0568,0.0593,0.06,452957398.5943,1212527970.57417
2033,Stellar,XLM,2020-02-28 23:59:59,0.0614,0.057,0.06,0.0583,419431446.0234,1178058217.00219
2034,Stellar,XLM,2020-02-29 23:59:59,0.0598,0.0574,0.0583,0.0575,318679470.9176,1160906895.88923
2035,Stellar,XLM,2020-03-01 23:59:59,0.0585,0.0555,0.0574,0.0563,360604910.2965,1136566220.93594
2036,Stellar,XLM,2020-03-02 23:59:59,0.0598,0.0559,0.0562,0.0592,397777572.2841,1196467589.54798
2037,Stellar,XLM,2020-03-03 23:59:59,0.0601,0.0579,0.0592,0.0584,407088468.8225,1180080996.93165
2038,Stellar,XLM,2020-03-04 23:59:59,0.0591,0.0579,0.0584,0.0586,381787288.6238,1184959544.66144
2039,Stellar,XLM,2020-03-05 23:59:59,0.0609,0.0586,0.0586,0.0598,421868545.4769,1208503878.04449
2040,Stellar,XLM,2020-03-06 23:59:59,0.0612,0.0595,0.0598,0.0612,428300798.6501,1238698121.77052
2041,Stellar,XLM,2020-03-07 23:59:59,0.0614,0.0584,0.0612,0.0584,411529338.636,1183231787.03693
2042,Stellar,XLM,2020-03-08 23:59:59,0.0584,0.0507,0.0584,0.0507,488233342.3785,1027960316.7492
2043,Stellar,XLM,2020-03-09 23:59:59,0.052,0.0479,0.0507,0.0519,549172784.3558,1051782272.64883
