serial_number,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Tether,USDT,2015-02-26 23:59:59,1.2123,1.1947,1.2104,1.2057,5.9555,303364.184
2,Tether,USDT,2015-03-02 23:59:59,0.6079,0.5683,0.5712,0.6065,3.0325,152595.9032
3,Tether,USDT,2015-03-03 23:59:59,0.6062,0.6044,0.6051,0.6062,3.0311,152527.2164
4,Tether,USDT,2015-03-06 23:59:59,1.0,1.0,1.0,1.0,92.6472,251600.0
5,Tether,USDT,2015-03-07 23:59:59,1.0,1.0,1.0,1.0,58196.8008,251600.0
6,Tether,USDT,2015-03-08 23:59:59,1.0,1.0,1.0,1.0,31.1394,251600.0
7,Tether,USDT,2015-03-09 23:59:59,1.0,1.0,1.0,1.0,142.997,251600.0
8,Tether,USDT,2015-03-10 23:59:59,1.0,1.0,1.0,1.0,49996.6992,251600.0
9,Tether,USDT,2015-03-11 23:59:59,1.0,1.0,1.0,1.0,49.3107,251600.0
10,Tether,USDT,2015-03-12 23:59:59,1.0,1.0,1.0,1.0,80418.2969,251600.0
11,Tether,USDT,2015-03-13 23:59:59,1.0,1.0,1.0,1.0,75.2757,251600.0
12,Tether,USDT,2015-03-14 23:59:59,1.0,1.0,1.0,1.0,17705.0996,251600.0
13,Tether,USDT,2015-03-15 23:59:59,1.0,1.0,1.0,1.0,15124.5,251600.0
14,Tether,USDT,2015-03-16 23:59:59,1.0,1.0,1.0,1.0,49631.5,251600.0
15,Tether,USDT,2015-03-17 23:59:59,1.0,1.0,1.0,1.0,4284.02,251600.0
16,Tether,USDT,2015-03-18 23:59:59,1.0,1.0,1.0,1.0,202.343,251600.0
17,Tether,USDT,2015-03-19 23:59:59,1.0,1.0,1.0,1.0,713.947,251600.0
18,Tether,USDT,2015-03-20 23:59:59,1.0,1.0,1.0,1.0,132.727,251600.0
19,Tether,USDT,2015-03-21 23:59:59,1.0,1.0,1.0,1.0,206.268,251600.0
20,Tether,USDT,2015-03-22 23:59:59,1.0,1.0,1.0,1.0,66.6825,251600.0
21,Tether,USDT,2015-03-23 23:59:59,1.0,1.0,1.0,1.0,65.8382,251600.0
22,Tether,USDT,2015-03-24 23:59:59,1.0,1.0,1.0,1.0,1179.4399,251600.0
23,Tether,USDT,2015-03-25 23:59:59,1.0,1.0,1.0,1.0,92.3522,251600.0
24,Tether,USDT,2015-03-26 23:59:59,1.0,1.0,1.0,1.0,2.3081,251600.0
25,Tether,USDT,2015-03-27 23:59:59,1.0,1.0,1.0,1.0,4.7949,251600.0
26,Tether,USDT,2015-03-28 23:59:59,1.0,1.0,1.0,1.0,17.044,251600.0
27,Tether,USDT,2015-03-29 23:59:59,1.0,1.0,1.0,1.0,20.6377,251600.0
28,Tether,USDT,2015-03-30 23:59:59,1.0,1.0,1.0,1.0,494.702,251600.0
29,Tether,USDT,2015-03-31 23:59:59,1.0,1.0,1.0,1.0,37.0521,251600.0
30,Tether,USDT,2015-04-01 23:59:59,1.0,1.0,1.0,1.0,14.487,251600.0
31,Tether,USDT,2015-04-02 23:59:59,1.0,1.0,1.0,1.0,79969.8984,251600.0
32,Tether,USDT,2015-04-03 23:59:59,1.0,1.0,1.0,1.0,8887.1699,251600.0
33,Tether,USDT,2015-04-04 23:59:59,1.0,1.0,1.0,1.0,2018.25,251600.0
34,Tether,USDT,2015-04-05 23:59:59,1.0,1.0,1.0,1.0,2887.05,251600.0
35,Tether,USDT,2015-04-06 23:59:59,1.0,1.0,1.0,1.0,254.3,251600.0
36,Tether,USDT,2015-04-07 23:59:59,1.0,1.0,1.0,1.0,19179.0,251600.0
37,Tether,USDT,2015-04-08 23:59:59,1.0,1.0,1.0,1.0,1024.2,251600.0
38,Tether,USDT,2015-04-09 23:59:59,1.0,1.0,1.0,1.0,100949.0,251600.0
39,Tether,USDT,2015-04-10 23:59:59,1.0,1.0,1.0,1.0,470.234,251600.0
40,Tether,USDT,2015-04-11 23:59:59,1.0,1.0,1.0,1.0,2868.8,251600.0
41,Tether,USDT,2015-04-12 23:59:59,1.0,1.0,1.0,1.0,1970.79,251600.0
42,Tether,USDT,2015-04-13 23:59:59,1.0,1.0,1.0,1.0,46026.0,251600.0
43,Tether,USDT,2015-04-14 23:59:59,1.0,1.0,1.0,1.0,50323.8008,251600.0
44,Tether,USDT,2015-04-15 23:59:59,1.0,1.0,1.0,1.0,40700.1992,251600.0
45,Tether,USDT,2015-04-16 23:59:59,1.0,1.0,1.0,1.0,46909.1992,251600.0
46,Tether,USDT,2015-04-17 23:59:59,1.0,1.0,1.0,1.0,50.4816,251600.0
47,Tether,USDT,2015-04-18 23:59:59,1.0,1.0,1.0,1.0,48.9731,251600.0
48,Tether,USDT,2015-04-19 23:59:59,1.0,1.0,1.0,1.0,21.9264,251600.0
49,Tether,USDT,2015-04-20 23:59:59,1.0,1.0,1.0,1.0,38.264,251600.0
50,Tether,USDT,2015-04-21 23:59:59,1.0,1.0,1.0,1.0,85932.7031,251600.0
51,Tether,USDT,2015-04-22 23:59:59,1.0,1.0,1.0,1.0,40305.6016,251600.0
52,Tether,USDT,2015-04-23 23:59:59,1.0,1.0,1.0,1.0,21632.0,251600.0
53,Tether,USDT,2015-04-24 23:59:59,1.0,1.0,1.0,1.0,20261.8008,251600.0
54,Tether,USDT,2015-04-25 23:59:59,1.0,1.0,1.0,1.0,26.4623,251600.0
55,Tether,USDT,2015-04-26 23:59:59,1.0,1.0,1.0,1.0,555.437,251600.0
56,Tether,USDT,2015-04-27 23:59:59,1.0,1.0,1.0,1.0,17806.1992,251600.0
57,Tether,USDT,2015-04-28 23:59:59,1.0,1.0,1.0,1.0,42628.1016,251600.0
58,Tether,USDT,2015-04-29 23:59:59,1.0,1.0,1.0,1.0,12.1863,251600.0
59,Tether,USDT,2015-04-30 23:59:59,1.0,1.0,1.0,1.0,613.069,251600.0
60,Tether,USDT,2015-05-01 23:59:59,1.0,1.0,1.0,1.0,48.3797,251600.0
61,Tether,USDT,2015-05-02 23:59:59,1.0,1.0,1.0,1.0,3.9935,251600.0
62,Tether,USDT,2015-05-03 23:59:59,1.0,1.0,1.0,1.0,1517.87,251600.0
63,Tether,USDT,2015-05-04 23:59:59,1.0,1.0,1.0,1.0,83170.7969,251600.0
64,Tether,USDT,2015-05-05 23:59:59,1.0,1.0,1.0,1.0,21.4286,251600.0
65,Tether,USDT,2015-05-06 23:59:59,1.0,1.0,1.0,1.0,10.1881,251600.0
66,Tether,USDT,2015-05-07 23:59:59,1.0,1.0,1.0,1.0,120.477,251600.0
67,Tether,USDT,2015-05-08 23:59:59,1.0,1.0,1.0,1.0,545.503,251600.0
68,Tether,USDT,2015-05-09 23:59:59,1.0,1.0,1.0,1.0,170.766,251600.0
69,Tether,USDT,2015-05-10 23:59:59,1.0,1.0,1.0,1.0,2466.1299,251600.0
70,Tether,USDT,2015-05-11 23:59:59,1.0,1.0,1.0,1.0,583.831,251600.0
71,Tether,USDT,2015-05-12 23:59:59,1.0,1.0,1.0,1.0,5.2209,251600.0
72,Tether,USDT,2015-05-13 23:59:59,1.0,1.0,1.0,1.0,0.1105,251600.0
73,Tether,USDT,2015-05-14 23:59:59,1.0,1.0,1.0,1.0,2184.6101,251600.0
74,Tether,USDT,2015-05-15 23:59:59,1.0,1.0,1.0,1.0,92.1195,251600.0
75,Tether,USDT,2015-05-16 23:59:59,1.0,1.0,1.0,1.0,297.448,251600.0
76,Tether,USDT,2015-05-17 23:59:59,1.0,1.0,1.0,1.0,682.925,251600.0
77,Tether,USDT,2015-05-18 23:59:59,1.0,1.0,1.0,1.0,31.3868,451600.0
78,Tether,USDT,2015-05-19 23:59:59,1.0,1.0,1.0,1.0,25358.6992,451600.0
79,Tether,USDT,2015-05-20 23:59:59,1.0,1.0,1.0,1.0,21978.9004,451600.0
80,Tether,USDT,2015-05-21 23:59:59,1.0,1.0,1.0,1.0,53849.1016,451600.0
81,Tether,USDT,2015-05-22 23:59:59,1.0,1.0,1.0,1.0,20209.3008,451600.0
82,Tether,USDT,2015-05-23 23:59:59,1.0,1.0,1.0,1.0,30.0165,451600.0
83,Tether,USDT,2015-05-24 23:59:59,1.0,1.0,1.0,1.0,5381.6401,451600.0
84,Tether,USDT,2015-05-25 23:59:59,1.0,1.0,1.0,1.0,2845.8601,451600.0
85,Tether,USDT,2015-05-26 23:59:59,1.0,1.0,1.0,1.0,1243.75,451600.0
86,Tether,USDT,2015-05-27 23:59:59,1.0,1.0,1.0,1.0,28001.6992,451600.0
87,Tether,USDT,2015-05-28 23:59:59,1.0,1.0,1.0,1.0,70611.5,451600.0
88,Tether,USDT,2015-05-29 23:59:59,1.0,1.0,1.0,1.0,16640.4004,451600.0
89,Tether,USDT,2015-05-30 23:59:59,1.0,1.0,1.0,1.0,12447.9004,451600.0
90,Tether,USDT,2015-05-31 23:59:59,1.0,1.0,1.0,1.0,2522.3799,451600.0
91,Tether,USDT,2015-06-01 23:59:59,1.0,1.0,1.0,1.0,40887.3984,451600.0
92,Tether,USDT,2015-06-02 23:59:59,1.0,1.0,1.0,1.0,75455.7031,451600.0
93,Tether,USDT,2015-06-03 23:59:59,1.0,1.0,1.0,1.0,24994.1992,451600.0
94,Tether,USDT,2015-06-04 23:59:59,1.0,1.0,1.0,1.0,151.843,451600.0
95,Tether,USDT,2015-06-05 23:59:59,1.0,1.0,1.0,1.0,21.5112,451600.0
96,Tether,USDT,2015-06-06 23:59:59,1.0,1.0,1.0,1.0,30.2225,451600.0
97,Tether,USDT,2015-06-07 23:59:59,1.0,1.0,1.0,1.0,1547.45,451600.0
98,Tether,USDT,2015-06-08 23:59:59,1.0,1.0,1.0,1.0,126.157,451600.0
