serial_number,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
2208,Dogecoin,DOGE,2020-01-01 23:59:59,0.0021,0.002,0.002,0.002,51180941.1988,249432496.876089
2209,Dogecoin,DOGE,2020-01-02 23:59:59,0.0021,0.002,0.002,0.002,65071106.4315,246518478.93142
2210,Dogecoin,DOGE,2020-01-03 23:59:59,0.0022,0.002,0.002,0.0021,62619987.7753,263328861.908919
2211,Dogecoin,DOGE,2020-01-04 23:59:59,0.0025,0.002,0.0021,0.0022,94227581.638,275114092.669902
2212,Dogecoin,DOGE,2020-01-05 23:59:59,0.0025,0.0021,0.0022,0.0024,52631739.9727,296989929.958002
2213,Dogecoin,DOGE,2020-01-06 23:59:59,0.0026,0.0024,0.0024,0.0025,54562408.6908,302412673.447395
2214,Dogecoin,DOGE,2020-01-07 23:59:59,0.0025,0.0024,0.0025,0.0024,52767343.0526,298738083.403373
2215,Dogecoin,DOGE,2020-01-08 23:59:59,0.0025,0.0023,0.0024,0.0023,77251525.7058,281594191.23327
2216,Dogecoin,DOGE,2020-01-09 23:59:59,0.0023,0.0021,0.0023,0.0023,70690570.9475,277106182.671971
2217,Dogecoin,DOGE,2020-01-10 23:59:59,0.0024,0.0022,0.0023,0.0024,87683356.3335,289375370.842334
2218,Dogecoin,DOGE,2020-01-11 23:59:59,0.0024,0.0023,0.0024,0.0023,94203408.7595,284228140.879509
2219,Dogecoin,DOGE,2020-01-12 23:59:59,0.0024,0.0023,0.0023,0.0024,79426214.9145,292507504.015728
2220,Dogecoin,DOGE,2020-01-13 23:59:59,0.0024,0.0023,0.0024,0.0024,83849845.9623,289722805.351358
2221,Dogecoin,DOGE,2020-01-14 23:59:59,0.0025,0.0023,0.0024,0.0025,128635382.7307,303552342.209688
2222,Dogecoin,DOGE,2020-01-15 23:59:59,0.0025,0.0024,0.0025,0.0024,128940321.0341,291129905.063257
2223,Dogecoin,DOGE,2020-01-16 23:59:59,0.0024,0.0023,0.0024,0.0023,98124199.0159,288233512.702912
2224,Dogecoin,DOGE,2020-01-17 23:59:59,0.0025,0.0023,0.0023,0.0025,117752841.3226,306098384.408112
2225,Dogecoin,DOGE,2020-01-18 23:59:59,0.0025,0.0025,0.0025,0.0025,108133942.5462,308242054.726058
2226,Dogecoin,DOGE,2020-01-19 23:59:59,0.0026,0.0024,0.0025,0.0024,108085146.9092,295732370.581367
2227,Dogecoin,DOGE,2020-01-20 23:59:59,0.0024,0.0024,0.0024,0.0024,92022276.7693,291955767.010132
2228,Dogecoin,DOGE,2020-01-21 23:59:59,0.0024,0.0023,0.0024,0.0024,84321564.8832,292280593.381007
2229,Dogecoin,DOGE,2020-01-22 23:59:59,0.0024,0.0023,0.0024,0.0023,82852580.2036,285795825.087593
2230,Dogecoin,DOGE,2020-01-23 23:59:59,0.0024,0.0022,0.0023,0.0023,91866620.0756,278962447.808787
2231,Dogecoin,DOGE,2020-01-24 23:59:59,0.0023,0.0022,0.0023,0.0023,86865882.4412,280006237.420921
2232,Dogecoin,DOGE,2020-01-25 23:59:59,0.0023,0.0022,0.0023,0.0023,82421398.5394,277757847.353706
2233,Dogecoin,DOGE,2020-01-26 23:59:59,0.0023,0.0022,0.0023,0.0023,73458474.4635,283609272.572719
2234,Dogecoin,DOGE,2020-01-27 23:59:59,0.0024,0.0023,0.0023,0.0024,89023414.0232,291399495.398829
2235,Dogecoin,DOGE,2020-01-28 23:59:59,0.0024,0.0024,0.0024,0.0024,91528770.7801,301513932.972359
2236,Dogecoin,DOGE,2020-01-29 23:59:59,0.0025,0.0024,0.0025,0.0024,80676218.5518,294177531.674357
2237,Dogecoin,DOGE,2020-01-30 23:59:59,0.0024,0.0024,0.0024,0.0024,83967913.6333,300452707.253648
2238,Dogecoin,DOGE,2020-01-31 23:59:59,0.0025,0.0024,0.0024,0.0024,76519295.2996,294719511.403612
2239,Dogecoin,DOGE,2020-02-01 23:59:59,0.0024,0.0024,0.0024,0.0024,78730830.1274,298258838.842198
2240,Dogecoin,DOGE,2020-02-02 23:59:59,0.0025,0.0024,0.0024,0.0025,91552514.9975,304011347.02579
2241,Dogecoin,DOGE,2020-02-03 23:59:59,0.0025,0.0024,0.0025,0.0024,78856631.3267,300519838.686688
2242,Dogecoin,DOGE,2020-02-04 23:59:59,0.0025,0.0024,0.0024,0.0025,89790001.9271,308369226.050807
2243,Dogecoin,DOGE,2020-02-05 23:59:59,0.0026,0.0025,0.0025,0.0026,105741619.2469,318098839.653614
2244,Dogecoin,DOGE,2020-02-06 23:59:59,0.0027,0.0026,0.0026,0.0027,108711613.8601,326893710.213855
2245,Dogecoin,DOGE,2020-02-07 23:59:59,0.0028,0.0026,0.0027,0.0028,130273878.4392,341181360.982181
2246,Dogecoin,DOGE,2020-02-08 23:59:59,0.0032,0.0027,0.0028,0.0032,203803814.4327,389267351.012849
2247,Dogecoin,DOGE,2020-02-09 23:59:59,0.0035,0.0032,0.0032,0.0032,218861526.9722,398390042.126141
2248,Dogecoin,DOGE,2020-02-10 23:59:59,0.0033,0.0029,0.0032,0.003,195582002.5913,368116092.420674
2249,Dogecoin,DOGE,2020-02-11 23:59:59,0.0031,0.0029,0.003,0.003,169747135.2513,374865844.517358
2250,Dogecoin,DOGE,2020-02-12 23:59:59,0.0032,0.003,0.003,0.0031,181406959.8706,381325934.548073
2251,Dogecoin,DOGE,2020-02-13 23:59:59,0.0032,0.003,0.0031,0.003,168543941.8721,373121830.0436
2252,Dogecoin,DOGE,2020-02-14 23:59:59,0.0031,0.003,0.003,0.0031,140849233.4048,385983125.91904
2253,Dogecoin,DOGE,2020-02-15 23:59:59,0.0032,0.0028,0.0031,0.0029,144726029.0321,360091409.996616
2254,Dogecoin,DOGE,2020-02-16 23:59:59,0.003,0.0026,0.0029,0.0028,149831932.6525,342218086.660317
2255,Dogecoin,DOGE,2020-02-17 23:59:59,0.0028,0.0025,0.0027,0.0027,149622002.2687,334603231.030554
2256,Dogecoin,DOGE,2020-02-18 23:59:59,0.0028,0.0027,0.0027,0.0028,144188844.1735,350309552.415687
2257,Dogecoin,DOGE,2020-02-19 23:59:59,0.0029,0.0026,0.0028,0.0026,136889051.7636,323790853.9859
2258,Dogecoin,DOGE,2020-02-20 23:59:59,0.0027,0.0026,0.0026,0.0027,187866681.3674,328108479.139087
