serial_number,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1608,Ethereum,ETH,2020-01-01 23:59:59,132.8354,129.1983,129.6307,130.802,7935230330.4751,14271059633.0755
1609,Ethereum,ETH,2020-01-02 23:59:59,130.82,126.9549,130.82,127.4102,8032709256.0762,13902505466.2437
1610,Ethereum,ETH,2020-01-03 23:59:59,134.554,126.49,127.4113,134.1717,10476845358.0825,14642130119.6642
1611,Ethereum,ETH,2020-01-04 23:59:59,136.0527,133.0406,134.1685,135.0694,7430904515.0946,14741946278.126
1612,Ethereum,ETH,2020-01-05 23:59:59,139.4102,135.0456,135.0721,136.2768,7526675353.2444,14875569429.664
1613,Ethereum,ETH,2020-01-06 23:59:59,144.3282,136.0796,136.3055,144.3042,9093747120.5444,15753803339.942
1614,Ethereum,ETH,2020-01-07 23:59:59,145.0018,140.4889,144.312,143.544,9257954671.543,15672773110.1732
1615,Ethereum,ETH,2020-01-08 23:59:59,146.828,138.2682,143.4878,141.2581,9387194956.589,15425115411.4042
1616,Ethereum,ETH,2020-01-09 23:59:59,141.394,136.2364,141.1558,138.9792,7697325347.9047,15178151516.9684
1617,Ethereum,ETH,2020-01-10 23:59:59,144.1673,135.5204,138.967,143.9638,9084816202.7671,15724494552.6748
1618,Ethereum,ETH,2020-01-11 23:59:59,146.4809,142.208,143.4091,142.9271,9332208590.1878,15613213639.7289
1619,Ethereum,ETH,2020-01-12 23:59:59,146.1459,142.7076,143.0325,145.8739,8528167453.249,15937115426.2969
1620,Ethereum,ETH,2020-01-13 23:59:59,146.7912,142.9071,146.2201,144.2266,8378529469.797,15759102081.3277
1621,Ethereum,ETH,2020-01-14 23:59:59,167.6816,144.0649,144.251,165.9554,16712318373.0187,18135588270.9266
1622,Ethereum,ETH,2020-01-15 23:59:59,170.4257,161.1096,165.7346,166.2307,15173694057.1567,18167930410.6557
1623,Ethereum,ETH,2020-01-16 23:59:59,167.0581,159.7096,166.3328,164.391,13735193017.9104,17969103320.7762
1624,Ethereum,ETH,2020-01-17 23:59:59,173.0692,162.7756,164.4894,170.78,14997091825.8827,18669811575.9153
1625,Ethereum,ETH,2020-01-18 23:59:59,178.5288,166.789,170.7477,175.3657,14929342255.5251,19173512822.9137
1626,Ethereum,ETH,2020-01-19 23:59:59,177.2476,163.6769,175.4676,166.9698,13713374132.1754,18257853531.6232
1627,Ethereum,ETH,2020-01-20 23:59:59,169.1149,162.3316,166.9041,167.1205,11144529787.0924,18276600991.9192
1628,Ethereum,ETH,2020-01-21 23:59:59,169.9101,165.8197,167.0605,169.6972,9789369362.4708,18560711557.1284
1629,Ethereum,ETH,2020-01-22 23:59:59,171.0087,166.7742,169.6085,168.2942,9209827927.9213,18409534609.4783
1630,Ethereum,ETH,2020-01-23 23:59:59,168.3122,160.2953,168.2957,162.9286,10396868698.0135,17824835899.2751
1631,Ethereum,ETH,2020-01-24 23:59:59,164.3094,156.7497,162.8994,163.0512,10657671161.8162,17840465424.1492
1632,Ethereum,ETH,2020-01-25 23:59:59,163.2272,158.6325,163.0673,161.2839,8256956801.6433,17649296255.9479
1633,Ethereum,ETH,2020-01-26 23:59:59,168.2203,160.2811,161.1768,168.0771,9261861589.6179,18394952134.9465
1634,Ethereum,ETH,2020-01-27 23:59:59,172.9229,166.9011,168.0089,170.9309,11004476145.2172,18709615890.943
1635,Ethereum,ETH,2020-01-28 23:59:59,176.3703,170.7381,170.8849,176.3703,11772875063.6629,19307396128.3943
1636,Ethereum,ETH,2020-01-29 23:59:59,178.843,175.0503,176.3479,175.0503,10725267310.6002,19165292202.1875
1637,Ethereum,ETH,2020-01-30 23:59:59,186.2605,172.3746,174.9177,184.6905,12604789338.0387,20223232963.5657
1638,Ethereum,ETH,2020-01-31 23:59:59,185.4058,176.2968,184.7369,180.1602,11728616393.8933,19729633077.607
1639,Ethereum,ETH,2020-02-01 23:59:59,183.8456,179.7452,180.1138,183.6739,11569697182.4858,20116913727.9509
1640,Ethereum,ETH,2020-02-02 23:59:59,193.0804,180.1739,183.5325,188.6175,14054425388.9062,20660936266.9287
1641,Ethereum,ETH,2020-02-03 23:59:59,193.4369,188.0127,188.6074,189.8651,12392875241.4011,20800183238.206
1642,Ethereum,ETH,2020-02-04 23:59:59,191.1115,185.4036,189.8617,189.2506,11714191695.0612,20735478719.6275
1643,Ethereum,ETH,2020-02-05 23:59:59,206.804,188.7527,189.2991,204.2302,14865434434.9265,22379510312.3186
1644,Ethereum,ETH,2020-02-06 23:59:59,214.5977,201.9041,204.1297,212.3391,16425589682.5221,23270983771.9064
1645,Ethereum,ETH,2020-02-07 23:59:59,223.1409,212.3042,212.3159,222.7261,16673443564.2959,24412375481.5021
1646,Ethereum,ETH,2020-02-08 23:59:59,226.5881,215.3863,222.511,223.1465,16741203125.0677,24461492838.843
1647,Ethereum,ETH,2020-02-09 23:59:59,229.8642,222.9822,222.9822,228.5786,15031356241.4966,25060056858.7598
1648,Ethereum,ETH,2020-02-10 23:59:59,229.1846,218.0801,228.5491,223.5227,16210008511.4996,24508831902.9171
1649,Ethereum,ETH,2020-02-11 23:59:59,236.5471,218.6176,223.3849,235.8512,16964695963.4936,25863852652.7983
1650,Ethereum,ETH,2020-02-12 23:59:59,272.3988,235.8963,235.8982,265.4061,24545049385.8684,29108513969.2886
