serial_number,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
932,IOTA,MIOTA,2020-01-01 23:59:59,0.1642,0.1591,0.16,0.1611,3981428.9822,447666001.802339
933,IOTA,MIOTA,2020-01-02 23:59:59,0.1615,0.1576,0.1611,0.1584,3753023.1031,440377785.335353
934,IOTA,MIOTA,2020-01-03 23:59:59,0.1676,0.1561,0.1584,0.1669,4989335.9729,463789805.862918
935,IOTA,MIOTA,2020-01-04 23:59:59,0.1747,0.1649,0.167,0.1742,5312938.8059,484229598.819386
936,IOTA,MIOTA,2020-01-05 23:59:59,0.1754,0.169,0.1744,0.173,5642016.5266,480979947.698273
937,IOTA,MIOTA,2020-01-06 23:59:59,0.1853,0.1728,0.1731,0.1829,9109464.9304,508365996.188959
938,IOTA,MIOTA,2020-01-07 23:59:59,0.1976,0.183,0.183,0.1857,10842185.0056,516165138.36892
939,IOTA,MIOTA,2020-01-08 23:59:59,0.1904,0.1788,0.1861,0.1811,8308095.2215,503373467.821051
940,IOTA,MIOTA,2020-01-09 23:59:59,0.1823,0.1762,0.1811,0.1783,5403819.2941,495474460.670261
941,IOTA,MIOTA,2020-01-10 23:59:59,0.1896,0.1715,0.1782,0.1896,7247987.5601,527032167.981134
942,IOTA,MIOTA,2020-01-11 23:59:59,0.1944,0.1848,0.1897,0.1918,8003701.315,533184837.2921
943,IOTA,MIOTA,2020-01-12 23:59:59,0.1931,0.1893,0.1918,0.1912,4124154.949,531353410.65066
944,IOTA,MIOTA,2020-01-13 23:59:59,0.192,0.1869,0.1913,0.1889,3739364.1612,524941922.90639
945,IOTA,MIOTA,2020-01-14 23:59:59,0.2163,0.1888,0.189,0.2103,13990556.1512,584569640.24294
946,IOTA,MIOTA,2020-01-15 23:59:59,0.2323,0.2071,0.2103,0.2321,17181225.7211,645255195.242134
947,IOTA,MIOTA,2020-01-16 23:59:59,0.2334,0.2175,0.2323,0.2278,11991426.8238,633117786.848121
948,IOTA,MIOTA,2020-01-17 23:59:59,0.2561,0.2236,0.2278,0.239,22593602.5833,664366664.790812
949,IOTA,MIOTA,2020-01-18 23:59:59,0.2543,0.2318,0.2389,0.2472,19224850.5035,687163086.036064
950,IOTA,MIOTA,2020-01-19 23:59:59,0.2483,0.2279,0.2465,0.2466,17651094.8915,685457699.299411
951,IOTA,MIOTA,2020-01-20 23:59:59,0.2564,0.2371,0.2463,0.2522,12515267.5788,700889928.458072
952,IOTA,MIOTA,2020-01-21 23:59:59,0.2541,0.2414,0.2517,0.2504,11064498.7604,696016145.962701
