serial_number,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
2439,Litecoin,LTC,2020-01-01 23:59:59,42.285,41.288,41.3265,42.0177,2782992323.3203,2679229283.80729
2440,Litecoin,LTC,2020-01-02 23:59:59,42.1347,39.6836,42.0181,39.823,2759827138.7612,2539554280.96806
2441,Litecoin,LTC,2020-01-03 23:59:59,42.4472,39.4508,39.8631,42.4156,3260961325.822,2705193552.07394
2442,Litecoin,LTC,2020-01-04 23:59:59,43.3427,41.9331,42.3835,43.3266,2843192896.775,2763617782.1258
2443,Litecoin,LTC,2020-01-05 23:59:59,44.7336,42.9985,43.2914,43.5532,3017148033.371,2778396524.60548
2444,Litecoin,LTC,2020-01-06 23:59:59,45.9579,43.4944,43.6039,45.8164,3349237768.46,2923126043.86312
2445,Litecoin,LTC,2020-01-07 23:59:59,46.8584,44.723,45.8387,46.4246,3611521906.9089,2962310516.95881
2446,Litecoin,LTC,2020-01-08 23:59:59,48.2028,44.627,46.4484,45.6538,3633957130.0777,2913485628.97714
2447,Litecoin,LTC,2020-01-09 23:59:59,45.7778,44.3105,45.6223,45.2159,2986327757.4811,2885860528.15929
2448,Litecoin,LTC,2020-01-10 23:59:59,49.1667,44.0331,45.2115,48.7273,3808140301.8112,3110300142.30913
2449,Litecoin,LTC,2020-01-11 23:59:59,51.3347,48.0884,48.6339,49.2638,3915781114.7205,3144901794.18387
2450,Litecoin,LTC,2020-01-12 23:59:59,51.2988,49.0128,49.3192,51.0807,3858852964.363,3261300810.31983
2451,Litecoin,LTC,2020-01-13 23:59:59,51.3904,48.9341,51.1223,49.7338,3336204743.5652,3175647876.49272
2452,Litecoin,LTC,2020-01-14 23:59:59,59.8815,49.6903,49.6974,58.4782,5729547956.437,3734400000.39414
2453,Litecoin,LTC,2020-01-15 23:59:59,59.923,56.1667,58.3903,58.0528,5070738793.3011,3707655222.58748
2454,Litecoin,LTC,2020-01-16 23:59:59,58.3021,55.1487,58.048,57.6183,4347723834.9347,3680300934.20337
2455,Litecoin,LTC,2020-01-17 23:59:59,62.8895,56.8988,57.643,61.4871,5067456613.4852,3927821846.14104
2456,Litecoin,LTC,2020-01-18 23:59:59,62.1657,58.5251,61.3028,59.4086,4426051529.7151,3795493154.25941
2457,Litecoin,LTC,2020-01-19 23:59:59,61.786,56.1804,59.4457,57.8007,4197776578.6849,3693201721.77624
2458,Litecoin,LTC,2020-01-20 23:59:59,58.0881,56.2268,57.7815,57.2033,3306438947.4455,3655443935.01604
