serial_number,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
2050,Monero,XMR,2020-01-01 23:59:59,45.9602,44.5028,44.5785,45.7535,75903148.6453,795254585.541309
2051,Monero,XMR,2020-01-02 23:59:59,46.2146,44.3973,45.7649,45.7495,81645163.1797,795254542.938305
2052,Monero,XMR,2020-01-03 23:59:59,51.9809,45.6428,45.6428,51.092,145826653.2654,888197073.516598
2053,Monero,XMR,2020-01-04 23:59:59,51.5454,50.017,51.0546,50.5367,61952233.6838,878616619.74492
2054,Monero,XMR,2020-01-05 23:59:59,54.7776,50.536,50.536,54.0969,51316114.058,940587960.20055
2055,Monero,XMR,2020-01-06 23:59:59,58.9937,53.9969,54.0922,58.9709,72292282.5649,1025427626.25989
2056,Monero,XMR,2020-01-07 23:59:59,59.8603,55.866,58.962,58.8183,71803693.8789,1022853093.93157
2057,Monero,XMR,2020-01-08 23:59:59,59.8125,56.1054,58.765,59.4642,69698035.9701,1034174393.85829
2058,Monero,XMR,2020-01-09 23:59:59,59.7899,57.1391,59.4879,59.1973,64810309.0578,1029615122.84238
2059,Monero,XMR,2020-01-10 23:59:59,59.4574,57.2451,59.1753,58.574,65556437.1166,1018860317.75081
2060,Monero,XMR,2020-01-11 23:59:59,63.9848,58.0691,58.5233,58.4503,94891786.5587,1016794773.31422
2061,Monero,XMR,2020-01-12 23:59:59,59.8672,57.6042,58.4538,59.3248,52045488.0987,1032093745.24837
2062,Monero,XMR,2020-01-13 23:59:59,59.3318,56.795,59.297,58.0057,58833703.6619,1009224837.05503
2063,Monero,XMR,2020-01-14 23:59:59,63.0378,57.8348,58.0101,62.8219,113675911.9208,1093113235.07232
2064,Monero,XMR,2020-01-15 23:59:59,68.8251,62.0821,62.7685,68.3389,166405670.8479,1189205048.54527
2065,Monero,XMR,2020-01-16 23:59:59,68.7981,62.6527,68.3298,65.6807,118716552.2016,1143043008.80075
2066,Monero,XMR,2020-01-17 23:59:59,71.9284,64.1057,65.6884,69.1763,118624801.5192,1203980723.0493
2067,Monero,XMR,2020-01-18 23:59:59,70.8252,66.4013,69.0907,67.1895,83759886.6095,1169497764.19938
2068,Monero,XMR,2020-01-19 23:59:59,69.2801,63.0873,67.2268,65.1263,71810752.5857,1133678611.49294
