serial_number,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Polkadot,DOT,2020-08-21 23:59:59,3.0901,2.7309,2.8969,2.875,49313136.8252,0.0
2,Polkadot,DOT,2020-08-22 23:59:59,4.5106,2.8168,2.8786,4.4847,485801095.8458,0.0
3,Polkadot,DOT,2020-08-23 23:59:59,4.4871,3.7163,4.4871,3.9671,320749483.2438,0.0
4,Polkadot,DOT,2020-08-24 23:59:59,4.7832,3.8127,3.9874,4.6026,407690170.8815,0.0
5,Polkadot,DOT,2020-08-25 23:59:59,5.7608,4.5012,4.585,5.5234,898847538.4564,0.0
6,Polkadot,DOT,2020-08-26 23:59:59,6.5547,5.1362,5.5414,6.0817,1054351759.4032,0.0
7,Polkadot,DOT,2020-08-27 23:59:59,6.7892,5.3139,6.0758,5.6283,1289248953.2649,0.0
8,Polkadot,DOT,2020-08-28 23:59:59,6.3337,5.541,5.6395,6.16,727162235.0077,0.0
9,Polkadot,DOT,2020-08-29 23:59:59,6.5629,6.0423,6.1759,6.1591,527290028.2887,0.0
10,Polkadot,DOT,2020-08-30 23:59:59,6.2195,5.75,6.1534,5.8699,485335136.1602,0.0
11,Polkadot,DOT,2020-08-31 23:59:59,6.4594,5.773,5.9059,6.3,512604781.4574,0.0
12,Polkadot,DOT,2020-09-01 23:59:59,6.8389,6.1723,6.2988,6.2888,601527408.5971,0.0
13,Polkadot,DOT,2020-09-02 23:59:59,6.4327,5.6574,6.2827,6.1395,584155027.6723,5234800947.37602
14,Polkadot,DOT,2020-09-03 23:59:59,6.3181,5.6826,6.1312,5.7479,763663456.7251,4900906249.03192
15,Polkadot,DOT,2020-09-04 23:59:59,5.9814,4.6267,5.7266,5.146,845787793.236,4387757398.22662
16,Polkadot,DOT,2020-09-05 23:59:59,5.3118,3.6535,5.136,4.1223,805800384.884,3514880375.0138
17,Polkadot,DOT,2020-09-06 23:59:59,4.9016,3.7597,4.137,4.7995,924160481.8827,4092255324.15976
18,Polkadot,DOT,2020-09-07 23:59:59,4.82,4.0326,4.796,4.5947,675375182.7144,3917633675.14744
19,Polkadot,DOT,2020-09-08 23:59:59,4.6164,4.1196,4.589,4.2743,519440288.0721,3644492936.27343
20,Polkadot,DOT,2020-09-09 23:59:59,4.7967,4.1589,4.2829,4.7089,534097093.8588,4015065990.6637
21,Polkadot,DOT,2020-09-10 23:59:59,4.8701,4.4713,4.7098,4.5816,633577673.9146,3906477359.16521
22,Polkadot,DOT,2020-09-11 23:59:59,4.7481,4.3171,4.5798,4.6456,633472139.8673,3961031724.18101
23,Polkadot,DOT,2020-09-12 23:59:59,5.2802,4.516,4.6506,5.137,753745736.547,4380082750.89405
24,Polkadot,DOT,2020-09-13 23:59:59,5.4788,4.8068,5.145,5.298,1099475714.1263,4517285669.33471
