serial_number,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Solana,SOL,2020-04-11 23:59:59,1.0491,0.765,0.9511,0.7768,43862443.7932,0.0
2,Solana,SOL,2020-04-12 23:59:59,0.9567,0.7624,0.7854,0.8825,38736897.0186,0.0
3,Solana,SOL,2020-04-13 23:59:59,0.8916,0.774,0.8908,0.7778,18211285.4667,0.0
4,Solana,SOL,2020-04-14 23:59:59,0.7965,0.6282,0.7778,0.6619,16747614.1219,0.0
5,Solana,SOL,2020-04-15 23:59:59,0.705,0.6215,0.6693,0.6467,13075275.2859,0.0
6,Solana,SOL,2020-04-16 23:59:59,0.7742,0.6251,0.6309,0.6908,21346031.3457,0.0
7,Solana,SOL,2020-04-17 23:59:59,0.7196,0.6607,0.6893,0.6607,9870810.0017,0.0
8,Solana,SOL,2020-04-18 23:59:59,0.7176,0.6594,0.6607,0.6811,9782111.9001,0.0
9,Solana,SOL,2020-04-19 23:59:59,0.6846,0.5985,0.6815,0.607,9289670.3782,0.0
10,Solana,SOL,2020-04-20 23:59:59,0.6393,0.5206,0.6129,0.5388,8342616.4208,0.0
11,Solana,SOL,2020-04-21 23:59:59,0.6046,0.5085,0.5414,0.5877,9711507.4484,0.0
12,Solana,SOL,2020-04-22 23:59:59,0.707,0.5696,0.5812,0.6916,18828399.5228,0.0
13,Solana,SOL,2020-04-23 23:59:59,0.6981,0.6003,0.6853,0.6275,13485271.0516,0.0
14,Solana,SOL,2020-04-24 23:59:59,0.671,0.6139,0.624,0.6342,9064190.2668,0.0
15,Solana,SOL,2020-04-25 23:59:59,0.6709,0.6215,0.6305,0.6433,7311904.7223,0.0
16,Solana,SOL,2020-04-26 23:59:59,0.6915,0.6312,0.6532,0.6355,8320760.3568,0.0
17,Solana,SOL,2020-04-27 23:59:59,0.6603,0.561,0.6357,0.5724,7406934.1085,0.0
18,Solana,SOL,2020-04-28 23:59:59,0.6921,0.5685,0.5783,0.6613,7470201.2232,0.0
19,Solana,SOL,2020-04-29 23:59:59,0.7778,0.6553,0.6623,0.7458,8801144.4797,0.0
20,Solana,SOL,2020-04-30 23:59:59,0.8008,0.6879,0.7472,0.691,5016891.6414,0.0
21,Solana,SOL,2020-05-01 23:59:59,0.7371,0.6859,0.691,0.7288,4164272.0718,0.0
22,Solana,SOL,2020-05-02 23:59:59,0.749,0.7079,0.7273,0.7159,3441355.7368,0.0
23,Solana,SOL,2020-05-03 23:59:59,0.7298,0.6566,0.7148,0.6795,3328343.6073,0.0
24,Solana,SOL,2020-05-04 23:59:59,0.7058,0.6184,0.6796,0.6675,3443697.8183,0.0
25,Solana,SOL,2020-05-05 23:59:59,0.6862,0.6265,0.6734,0.6418,2847469.3415,0.0
26,Solana,SOL,2020-05-06 23:59:59,0.6739,0.6226,0.6425,0.6226,2677562.9744,0.0
27,Solana,SOL,2020-05-07 23:59:59,0.6323,0.5734,0.6226,0.613,3355830.2358,0.0
28,Solana,SOL,2020-05-08 23:59:59,0.6366,0.5899,0.613,0.6049,2488194.573,0.0
29,Solana,SOL,2020-05-09 23:59:59,0.6254,0.5884,0.604,0.6045,2128502.7612,0.0
30,Solana,SOL,2020-05-10 23:59:59,0.6123,0.5131,0.6045,0.537,2327580.7963,0.0
31,Solana,SOL,2020-05-11 23:59:59,0.5719,0.5052,0.5363,0.5153,2098480.8288,0.0
32,Solana,SOL,2020-05-12 23:59:59,0.5598,0.5053,0.5134,0.5386,2198624.8776,0.0
33,Solana,SOL,2020-05-13 23:59:59,0.5649,0.518,0.5384,0.5505,2326445.5298,0.0
34,Solana,SOL,2020-05-14 23:59:59,0.5809,0.5501,0.5505,0.5691,2047896.7932,0.0
35,Solana,SOL,2020-05-15 23:59:59,0.5746,0.5471,0.5692,0.5598,1850070.4544,0.0
36,Solana,SOL,2020-05-16 23:59:59,0.6065,0.5544,0.559,0.5991,2300409.1457,0.0
37,Solana,SOL,2020-05-17 23:59:59,0.6402,0.5892,0.5952,0.613,2936428.4489,0.0
38,Solana,SOL,2020-05-18 23:59:59,0.6744,0.6096,0.6127,0.6527,3314358.5313,0.0
39,Solana,SOL,2020-05-19 23:59:59,0.6545,0.6112,0.651,0.6245,2380263.0432,0.0
40,Solana,SOL,2020-05-20 23:59:59,0.6267,0.5753,0.6225,0.5792,2302926.397,0.0
41,Solana,SOL,2020-05-21 23:59:59,0.6138,0.5433,0.5797,0.6089,2863016.8017,0.0
42,Solana,SOL,2020-05-22 23:59:59,0.6764,0.5828,0.6052,0.6389,3411419.3818,0.0
43,Solana,SOL,2020-05-23 23:59:59,0.6388,0.5882,0.6374,0.613,2638523.8494,0.0
44,Solana,SOL,2020-05-24 23:59:59,0.6133,0.5484,0.6133,0.5491,2786816.2017,0.0
45,Solana,SOL,2020-05-25 23:59:59,0.6501,0.5381,0.5486,0.6009,4509580.3395,0.0
46,Solana,SOL,2020-05-26 23:59:59,0.6124,0.5665,0.5991,0.5733,2689697.3236,0.0
47,Solana,SOL,2020-05-27 23:59:59,0.6111,0.5714,0.5733,0.591,2536915.5592,0.0
48,Solana,SOL,2020-05-28 23:59:59,0.5924,0.5669,0.5909,0.5752,2662787.8709,0.0
49,Solana,SOL,2020-05-29 23:59:59,0.5934,0.5669,0.5747,0.5794,2066857.454,0.0
50,Solana,SOL,2020-05-30 23:59:59,0.6025,0.5671,0.5814,0.5879,2449094.8391,0.0
51,Solana,SOL,2020-05-31 23:59:59,0.594,0.5692,0.5879,0.57,1892967.0904,0.0
52,Solana,SOL,2020-06-01 23:59:59,0.5878,0.5673,0.5735,0.5775,2159877.1593,0.0
53,Solana,SOL,2020-06-02 23:59:59,0.5897,0.5523,0.5771,0.5647,1295757.4642,9741011.2562594
54,Solana,SOL,2020-06-03 23:59:59,0.591,0.5645,0.5647,0.5866,877446.1845,10119647.9354345
55,Solana,SOL,2020-06-04 23:59:59,0.5916,0.5645,0.5869,0.5873,901641.2518,10131321.1400611
56,Solana,SOL,2020-06-05 23:59:59,0.6983,0.5779,0.5873,0.6612,4322091.6547,11405328.7385824
57,Solana,SOL,2020-06-06 23:59:59,0.6616,0.6118,0.6611,0.6224,1604055.1572,10737481.2006963
58,Solana,SOL,2020-06-07 23:59:59,0.6244,0.5934,0.6224,0.6166,716785.4694,10636269.8312904
59,Solana,SOL,2020-06-08 23:59:59,0.679,0.6133,0.6151,0.6683,1440233.8243,11528696.0984937
60,Solana,SOL,2020-06-09 23:59:59,0.6681,0.6272,0.6678,0.658,988327.4389,11350793.5069779
61,Solana,SOL,2020-06-10 23:59:59,0.67,0.6334,0.658,0.6449,1096203.3255,11124151.4035966
62,Solana,SOL,2020-06-11 23:59:59,0.6505,0.5701,0.6449,0.5737,1122221.1883,9897183.58341088
63,Solana,SOL,2020-06-12 23:59:59,0.6047,0.5699,0.5741,0.5939,940323.239,10244352.3859345
64,Solana,SOL,2020-06-13 23:59:59,0.6114,0.5855,0.5939,0.6089,764756.5534,10504345.5146756
65,Solana,SOL,2020-06-14 23:59:59,0.6183,0.5809,0.6109,0.5871,873415.7511,10127117.7365674
66,Solana,SOL,2020-06-15 23:59:59,0.5919,0.5473,0.5884,0.5706,942666.1897,9843524.99494113
67,Solana,SOL,2020-06-16 23:59:59,0.5898,0.5687,0.5706,0.5856,652020.1047,10101141.4390675
68,Solana,SOL,2020-06-17 23:59:59,0.5901,0.5651,0.5855,0.5816,673274.1935,10031846.4524466
69,Solana,SOL,2020-06-18 23:59:59,0.6503,0.5793,0.5816,0.621,1349341.2691,10711334.8299096
70,Solana,SOL,2020-06-19 23:59:59,0.8364,0.6204,0.6224,0.6843,6577470.9555,11804490.7995105
71,Solana,SOL,2020-06-20 23:59:59,0.6886,0.6256,0.6825,0.6436,1714405.2958,11101677.8613918
72,Solana,SOL,2020-06-21 23:59:59,0.7485,0.6369,0.6461,0.6731,2238347.1864,11611481.9990937
73,Solana,SOL,2020-06-22 23:59:59,0.7431,0.6459,0.6726,0.7268,1620387.874,12537695.5906935
74,Solana,SOL,2020-06-23 23:59:59,0.7606,0.7007,0.7268,0.7083,1327340.2534,12217638.9889378
75,Solana,SOL,2020-06-24 23:59:59,0.8007,0.6935,0.7085,0.737,2769053.6558,12712583.3849433
76,Solana,SOL,2020-06-25 23:59:59,0.7567,0.6992,0.7371,0.7132,1751581.2295,12301987.5415512
77,Solana,SOL,2020-06-26 23:59:59,0.752,0.6815,0.7125,0.7411,1664662.3184,12784052.9001166
78,Solana,SOL,2020-06-27 23:59:59,0.7522,0.6758,0.7396,0.7135,1681428.0267,12307979.1957079
79,Solana,SOL,2020-06-28 23:59:59,0.844,0.6871,0.7135,0.7985,3412582.2872,13773165.2227317
80,Solana,SOL,2020-06-29 23:59:59,0.8853,0.77,0.7985,0.8525,2147790.9781,14703824.7067831
81,Solana,SOL,2020-06-30 23:59:59,1.0292,0.8501,0.853,0.8601,3887548.3723,14835525.1298039
82,Solana,SOL,2020-07-01 23:59:59,0.9017,0.8209,0.8634,0.8326,1772559.8413,14361930.621951
83,Solana,SOL,2020-07-02 23:59:59,0.8371,0.7537,0.8321,0.7802,1749581.4768,13457643.8789028
84,Solana,SOL,2020-07-03 23:59:59,0.786,0.7551,0.782,0.7681,1144958.2968,13248409.5564903
85,Solana,SOL,2020-07-04 23:59:59,0.8232,0.7615,0.7679,0.7804,1644301.4507,13460110.8038221
86,Solana,SOL,2020-07-05 23:59:59,0.7855,0.6426,0.7801,0.6917,3799016.3168,11929965.7302922
87,Solana,SOL,2020-07-06 23:59:59,0.721,0.6866,0.6917,0.7079,1120773.2593,12210072.8690639
88,Solana,SOL,2020-07-07 23:59:59,0.7809,0.7019,0.7079,0.753,1700040.6609,12988566.0151594
89,Solana,SOL,2020-07-08 23:59:59,0.8275,0.7434,0.753,0.7967,2220222.7271,13741613.2737162
90,Solana,SOL,2020-07-09 23:59:59,0.8824,0.7599,0.794,0.8535,2668723.5063,14720152.3853897
91,Solana,SOL,2020-07-10 23:59:59,0.9396,0.8428,0.8533,0.9136,1856094.8738,15756747.8792219
92,Solana,SOL,2020-07-11 23:59:59,0.9263,0.8591,0.9136,0.9246,1788814.0647,15947475.7511162
93,Solana,SOL,2020-07-12 23:59:59,1.131,0.9141,0.9239,1.0167,4693370.5072,17535715.8229986
